codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,3075402.76,1502809.48,1826587.11,1731030.21,2148220.94,3960198.6
P_L,P/L,Valuation,x,,5.713,667.8563,16.782,10.8474,19.997
P_VPA,P/VPA,Valuation,x,1.4713,0.6414,0.6866,0.6358,0.7512,1.3848
EV_EBITDA,EV/EBITDA,Valuation,x,,1.9704,3.2089,1.8712,2.101,3.1054
EV_EBIT,EV/EBIT,Valuation,x,,4.5665,7.3011,5.2206,4.9215,7.2744
EV_RECEITA,EV/Receita,Valuation,x,,0.3165,0.2695,0.2372,0.2657,0.3927
DY,Dividend Yield,Valuation,%,7.3683,15.76,16.2619,18.3678,14.8007,8.0287
PAYOUT,Payout,Valuation,%,,90.0375,10860.6203,308.248,160.5492,160.5492
ROE,ROE,Rentabilidade,%,,11.8673,0.1093,3.8324,7.1617,7.1617
ROA,ROA,Rentabilidade,%,,3.4679,0.0311,1.1479,2.2115,2.2115
ROIC,ROIC,Rentabilidade,%,,11.2134,7.083,9.5007,11.2907,11.2907
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,16.0615,8.3977,12.674,12.6451,12.6451
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,2.8626,0.0244,0.8159,1.3881,1.3881
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,0.9522,1.2672,0.7908,0.9102,0.9102
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.2562,0.5998,0.4481,0.4654,0.5742,0.5742
ICJ,ICJ,Endividamento,x,,1.297,0.5238,0.7577,0.869,0.869
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,36.6256,30.0501,26.3103,26.1054,18.2816,18.2816
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.6028,1.4061,1.3858,1.3647,1.5668,1.5668
LIQ_SECA,Liquidez Seca,Liquidez,x,0.7098,0.3743,0.4515,0.3712,0.5383,0.5383
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.9282,0.8317,0.9248,0.9619,1.0078,1.0078
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,1.0688,1.2463,1.4072,1.5394,1.5394
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,109.9297,76.5129,66.5612,77.5764,77.5764
PME,PME,Eficiência,dias,,174.8068,142.4465,140.3701,125.0949,125.0949
NCG_RECEITA,NCG/Receita,Eficiência,%,,16.2889,11.0515,11.4984,14.5157,14.5157
