codigo,nome,categoria,unidade,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,17.224,9.5329,10.4545,19.6364
P_VPA,P/VPA,Valuation,x,0.8556,0.6866,0.6358,0.181,0.3399
EV_EBITDA,EV/EBITDA,Valuation,x,,3.2089,1.8712,1.197,1.449
EV_EBIT,EV/EBIT,Valuation,x,,7.3011,5.2206,2.8041,3.3942
EV_RECEITA,EV/Receita,Valuation,x,,0.2695,0.2372,0.1514,0.1832
DY,Dividend Yield,Valuation,%,,1.5274,2.5632,7.3304,3.9028
PAYOUT,Payout,Valuation,%,,1020.1097,43.0159,30.5696,30.5696
ROE,ROE,Rentabilidade,%,,0.1112,3.8324,4.4876,4.4876
ROA,ROA,Rentabilidade,%,,0.0321,1.1479,1.3858,1.3858
ROIC,ROIC,Rentabilidade,%,,7.083,9.5007,11.2907,11.2907
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,8.3977,12.674,12.6451,12.6451
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,0.0244,0.8159,0.8698,0.8698
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,1.2672,0.7908,0.9102,0.9102
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.4514,0.4481,0.4654,0.5742,0.5742
ICJ,ICJ,Endividamento,x,,0.5238,0.7577,0.869,0.869
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,18.1644,26.3103,26.1054,18.2816,18.2816
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.4739,1.3858,1.3647,1.5668,1.5668
LIQ_SECA,Liquidez Seca,Liquidez,x,0.4609,0.4515,0.3712,0.5383,0.5383
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.8596,0.9248,0.9619,1.0078,1.0078
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,1.2463,1.4072,1.5394,1.5394
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,76.5129,66.5612,77.5764,77.5764
PME,PME,Eficiência,dias,,142.4465,140.3701,125.0949,125.0949
NCG_RECEITA,NCG/Receita,Eficiência,%,,11.0515,11.4984,14.5157,14.5157
