cd_conta,ds_conta,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,460861.000,519193.000,565292.000,729711.000,527177.000,545533.000,621003.000,851709.000,505615.000,239372.000,569038.000,1092838.000,812836.000,1122846.000,1491316.000,1683464.000,1344627.000,1463007.000,1469980.000,1983093.000,1472122.000,1593145.000,1793263.000,2130141.000,1495219.000,1713937.000,1770288.000,2172270.000,1554359.000,1817700.000,1936522.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-235007.000,-256824.000,-291974.000,-375319.000,-263019.000,-268420.000,-314016.000,-441355.000,-259232.000,-155861.000,-321115.000,-620558.000,-464130.000,-599847.000,-821238.000,-873636.000,-722905.000,-792590.000,-765313.000,-1038967.000,-735385.000,-835544.000,-957705.000,-1145366.000,-764967.000,-861122.000,-886387.000,-1126113.000,-782020.000,-925792.000,-1018825.000
3.03,Resultado Bruto,225854.000,262369.000,273318.000,354392.000,264158.000,277113.000,306987.000,410354.000,246383.000,83511.000,247923.000,472280.000,348706.000,522999.000,670078.000,809828.000,621722.000,670417.000,704667.000,944126.000,736737.000,757601.000,835558.000,984775.000,730252.000,852815.000,883901.000,1046157.000,772339.000,891908.000,917697.000
3.04,Despesas/Receitas Operacionais,-211425.000,-231929.000,-210981.000,-281651.000,-235721.000,-154477.000,-246069.000,-153654.000,-252724.000,-188683.000,-274205.000,-407264.000,-388084.000,-429032.000,-499248.000,-632872.000,-528670.000,-599914.000,-651315.000,-759197.000,-629805.000,-708630.000,-666973.000,-778436.000,-600779.000,-726484.000,-710547.000,-863221.000,-652583.000,-787365.000,-778739.000
3.04.02,Despesas Gerais e Administrativas,-44189.000,-45581.000,-21047.000,-58833.000,-46120.000,-40708.000,-40837.000,-209406.000,-50549.000,-30978.000,-46945.000,-122508.000,-140670.000,-27773.000,-73534.000,-145917.000,-107764.000,-119536.000,-173320.000,-107910.000,-128348.000,-116980.000,-113958.000,-158314.000,-128367.000,-185093.000,-162643.000,-212251.000,-136464.000,-188320.000,-169958.000
3.04.05,Outras Despesas Operacionais,0.000,0.000,-1651.000,4354.000,0.000,0.000,0.000,393648.000,0.000,-5247.000,0.000,-11096.000,-4298.000,-7807.000,0.000,-53834.000,-13286.000,-2605.000,0.000,15497.000,0.000,0.000,0.000,0.000,11554.000,4217.000,9898.000,-25669.000,8224.000,440.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-226.000,-23.000,336.000,123.000,519.000,738.000,-1089.000,-1090.000,399.000,-229.000,379.000,-34.000,33.000,-457.000,-534.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,14429.000,30440.000,62337.000,72741.000,28437.000,122636.000,60918.000,256700.000,-6341.000,-105172.000,-26282.000,65016.000,-39378.000,93967.000,170830.000,176956.000,93052.000,70503.000,53352.000,184929.000,106932.000,48971.000,168585.000,206339.000,129473.000,126331.000,173354.000,182936.000,119756.000,104543.000,138958.000
3.06,Resultado Financeiro,-24075.000,-22208.000,-21570.000,-23877.000,-31995.000,7070.000,-13899.000,-22553.000,6995.000,-48617.000,-31155.000,-56401.000,-36008.000,-73126.000,-26902.000,-56058.000,-46051.000,-53341.000,-72705.000,-11526.000,-88423.000,-83195.000,-88677.000,-80703.000,-77284.000,123289.000,-47435.000,-62595.000,-50620.000,-62509.000,-72712.000
3.06.01,Receitas Financeiras,12171.000,16880.000,16773.000,15168.000,9263.000,51830.000,11064.000,145642.000,45129.000,12541.000,16874.000,27783.000,37878.000,49282.000,55609.000,42282.000,71753.000,87027.000,44331.000,51330.000,47649.000,82308.000,71578.000,47832.000,30579.000,48060.000,62323.000,80568.000,39630.000,54621.000,97370.000
3.06.02,Despesas Financeiras,-36246.000,-39088.000,-38343.000,-39045.000,-41258.000,-44760.000,-24963.000,-168195.000,-38134.000,-61158.000,-48029.000,-84184.000,-73886.000,-122408.000,-82511.000,-98340.000,-117804.000,-140368.000,-117036.000,-62856.000,-136072.000,-165503.000,-160255.000,-128535.000,-107863.000,75229.000,-109758.000,-143163.000,-90250.000,-117130.000,-170082.000
3.07,Resultado Antes dos Tributos sobre o Lucro,-9646.000,8232.000,40767.000,48864.000,-3558.000,129706.000,47019.000,234147.000,654.000,-153789.000,-57437.000,8615.000,-75386.000,20841.000,143928.000,120898.000,47001.000,17162.000,-19353.000,173403.000,18509.000,-34224.000,79908.000,125636.000,52189.000,249620.000,125919.000,120341.000,69136.000,42034.000,66246.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-446.000,-10671.000,-2380.000,74028.000,-585.000,-17877.000,-8606.000,-70519.000,7486.000,51502.000,24186.000,5978.000,39222.000,3237.000,77512.000,167579.000,-29723.000,14511.000,34338.000,-32737.000,-16997.000,1643.000,-7208.000,1545.000,-14301.000,-20703.000,7814.000,14955.000,-1821.000,4434.000,19608.000
3.09,Resultado Líquido das Operações Continuadas,-10092.000,-2439.000,38387.000,122892.000,-4143.000,111829.000,38413.000,163628.000,8140.000,-102287.000,-33251.000,14593.000,-36164.000,24078.000,221440.000,288477.000,17278.000,31673.000,14985.000,140666.000,1512.000,-32581.000,72700.000,127181.000,37888.000,228917.000,133733.000,135296.000,67315.000,46468.000,85854.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,-10092.000,-2439.000,38387.000,122892.000,-4143.000,111829.000,38413.000,163628.000,8140.000,-102287.000,-33251.000,14593.000,-36164.000,24078.000,221440.000,288477.000,17278.000,31673.000,14985.000,140666.000,1512.000,-32581.000,72700.000,127181.000,37888.000,228917.000,133733.000,135296.000,67315.000,46468.000,85854.000
3.11.01,Atribuído a Sócios da Empresa Controladora,-10035.000,-2454.000,37981.000,121591.000,-4134.000,111680.000,38345.000,164280.000,8122.000,-102185.000,-33246.000,14555.000,-36181.000,24183.000,221417.000,-209419.000,17636.000,32096.000,14876.000,140409.000,1801.000,-33675.000,74064.000,126955.000,38050.000,229027.000,133743.000,135436.000,67567.000,46411.000,86003.000
3.11.02,Atribuído a Sócios Não Controladores,-57.000,15.000,406.000,1301.000,-9.000,149.000,68.000,-652.000,18.000,-102.000,-5.000,38.000,17.000,-105.000,23.000,65.000,-358.000,-423.000,109.000,257.000,-289.000,1094.000,-1364.000,226.000,-162.000,-110.000,-10.000,-140.000,-252.000,57.000,-149.000
3.99,Lucro por Ação (Reais/Ação),-0.041,-0.010,0.250,0.720,-0.020,0.530,0.170,1.420,0.039,-0.480,-0.130,0.081,-0.150,0.100,0.812,1.288,0.073,0.130,0.061,0.737,0.007,0.130,0.130,0.733,0.160,0.938,0.550,1.490,0.290,0.200,0.370
