codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2024,2025,LTM
P_L,P/L,Valuation,x,,0.1185,2.1303,2.7373,11.0438,7.7294,11.8587,94.5179,11.5535,11.5535
P_VPA,P/VPA,Valuation,x,-0.017,-0.09,-0.1496,-0.0998,-1.1375,0.9068,1.269,4.7792,0.6675,0.6675
EV_EBITDA,EV/EBITDA,Valuation,x,,0.0722,2.2632,1.8028,19.1133,5.1867,8.3715,223.0847,-2.2366,-2.2366
EV_EBIT,EV/EBIT,Valuation,x,,0.0722,2.2632,1.8028,19.1133,5.1867,8.3715,223.0847,-2.2366,-2.2366
EV_RECEITA,EV/Receita,Valuation,x,,0.3139,1.0363,0.706,8.7888,4.4645,6.8412,113.4349,7.0416,7.0416
DY,Dividend Yield,Valuation,%,,,,,,2.324,0.8255,,,
PAYOUT,Payout,Valuation,%,,,,,,17.9648,9.7887,,,
ROE,ROE,Rentabilidade,%,,-56.1763,-6.7866,-3.581,-4.2624,-138.0198,11.3001,3.1628,13.4703,13.4703
ROA,ROA,Rentabilidade,%,,104.0593,7.5267,4.9465,5.1992,9.6071,7.9742,2.4422,12.6637,12.6637
ROIC,ROIC,Rentabilidade,%,,-65.5762,-4.2241,-3.0043,-3.7239,11.5019,10.2435,1.7834,-14.7854,-14.7854
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,434.9326,45.7876,39.1619,45.9823,86.0766,81.7195,50.8483,-314.8403,-314.8403
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,326.9949,50.0431,30.8554,34.3346,59.7779,62.6981,119.7751,289.801,289.801
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,-0.0169,-0.0651,-0.3537,-0.4899,-0.1818,-0.7262,-12.2298,2.2354,2.2354
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.5864,0.0171,0.0042,0.0164,0.0284,-0.0307,-0.1013,-0.2484,-0.3337,-0.3337
ICJ,ICJ,Endividamento,x,,22.3838,12.1704,28.6608,13.0375,33.9027,13.2269,12.7109,-98.8333,-98.8333
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,0.2047,41.7436,57.8373,4.6664,9.7222,10.046,12.4456,24.1105,26.6442,26.6442
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.608,4.1211,8.2434,6.8239,8.5154,4.2252,4.0773,25.2935,30.0272,30.0272
LIQ_SECA,Liquidez Seca,Liquidez,x,0.6011,4.1122,8.1362,6.7424,8.4336,4.2027,4.0732,25.2878,30.0079,30.0079
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.1362,0.4912,0.3419,0.3775,0.3983,2.8152,2.897,8.7633,16.8076,16.8076
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.2079,0.2093,0.1517,0.1464,0.1369,0.1217,0.0371,0.045,0.045
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,82.441,254.6657,392.4369,405.8555,239.2868,235.9515,355.9466,387.3158,387.3158
PME,PME,Eficiência,dias,,15.57,8.2532,15.1389,14.931,8.8763,2.9853,1.4628,5.1252,5.1252
NCG_RECEITA,NCG/Receita,Eficiência,%,,211.8547,72.3212,96.6842,109.3276,59.8548,44.583,143.2086,268.7609,268.7609
