cd_conta,conta,2010T4,2011T1,2011T2,2011T3,2011T4,2012T1,2012T2,2012T3,2012T4,2013T1,2013T2,2013T3,2013T4,2014T1,2014T2,2014T3,2014T4,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,6266517.000,6442212.000,6596116.000,6670824.000,4918542.000,4843429.000,1714569.000,447697.000,419808.000,451466.000,456444.000,454955.000,455333.000,457242.000,455739.000,573660.000,664889.000,632639.000,641116.000,651511.000,644464.000,650794.000,663593.000,992377.000,2123880.000,2085019.000,1807895.000,1687546.000,1191481.000,1205195.000,1229525.000,1327119.000,1324123.000,1320870.000,1368158.000,1393969.000,1430833.000,1463684.000,1485783.000,1532986.000,2033989.000,2073577.000,2122212.000,2115289.000,2225226.000,805343.000,817547.000,828820.000,824883.000,844625.000,862868.000,879905.000,778530.000
2.01,Passivo Circulante,4508994.000,4740315.000,4993371.000,5481029.000,4020650.000,4543101.000,2473928.000,1088641.000,1079877.000,1169212.000,1220009.000,1070342.000,1093926.000,1376955.000,1611378.000,71768.000,20482.000,134288.000,163812.000,419664.000,482130.000,503965.000,368536.000,390676.000,311716.000,321257.000,27701.000,26913.000,26213.000,29466.000,38168.000,54275.000,50477.000,34368.000,45583.000,45502.000,50071.000,37002.000,46407.000,134662.000,94869.000,87309.000,116192.000,83521.000,119140.000,9356.000,10377.000,12388.000,11141.000,10269.000,10123.000,11173.000,12015.000
2.01.01,Obrigações Sociais e Trabalhistas,9568.000,6923.000,6555.000,6771.000,10379.000,7439.000,347.000,419.000,1280.000,832.000,1059.000,1464.000,1666.000,1760.000,1601.000,2038.000,711.000,1844.000,1611.000,660.000,1087.000,721.000,858.000,799.000,1254.000,869.000,859.000,983.000,1504.000,904.000,951.000,995.000,1568.000,1026.000,1032.000,1152.000,1717.000,1085.000,1084.000,1101.000,1801.000,,5662.000,6243.000,1140.000,3315.000,3202.000,3594.000,3992.000,3396.000,3536.000,4294.000,4620.000
2.01.02,Fornecedores,1449972.000,1477195.000,1519554.000,1783043.000,1429539.000,1469531.000,1141.000,1036.000,458.000,1440.000,1685.000,972.000,1465.000,907.000,1003.000,1831.000,346.000,756.000,554.000,1304.000,1717.000,1983.000,1997.000,1360.000,6209.000,10113.000,10653.000,6652.000,7012.000,5457.000,5457.000,5260.000,3592.000,2949.000,3637.000,5561.000,5953.000,2692.000,2924.000,10374.000,7646.000,,2812.000,3864.000,2946.000,547.000,1655.000,3119.000,1467.000,1361.000,914.000,861.000,1459.000
2.01.03,Obrigações Fiscais,1023779.000,1174345.000,1299134.000,1421540.000,652933.000,1133707.000,1516.000,1597.000,1818.000,7848.000,7955.000,5398.000,4836.000,5844.000,5025.000,6587.000,2654.000,4001.000,3402.000,7539.000,2177.000,2674.000,3601.000,5345.000,295310.000,299060.000,5606.000,8654.000,8461.000,12111.000,19389.000,32804.000,31120.000,11986.000,18132.000,15413.000,20967.000,12772.000,21308.000,30241.000,27019.000,,25501.000,15233.000,12362.000,2246.000,2169.000,2331.000,2346.000,2152.000,2194.000,2700.000,2719.000
2.01.04,Empréstimos e Financiamentos,544604.000,505662.000,491654.000,474254.000,268112.000,246878.000,3557.000,3637.000,833.000,2773.000,4450.000,4134.000,3504.000,5962.000,5166.000,4138.000,3324.000,5808.000,5012.000,4198.000,3341.000,5975.000,5167.000,4336.000,3481.000,5407.000,4551.000,3788.000,2915.000,3363.000,2366.000,2860.000,3429.000,5015.000,8264.000,9569.000,10780.000,10953.000,10602.000,10854.000,10693.000,,10681.000,10675.000,12103.000,3073.000,3133.000,3142.000,3151.000,3185.000,3209.000,3098.000,2921.000
2.01.05,Outras Obrigações,1481071.000,1576190.000,1676474.000,1795421.000,1659687.000,1685546.000,46700.000,47011.000,45031.000,47164.000,48634.000,51960.000,52663.000,58695.000,58070.000,13096.000,13447.000,11650.000,8734.000,8898.000,7708.000,13632.000,13800.000,8521.000,5462.000,5808.000,6032.000,6836.000,6321.000,7631.000,10005.000,12356.000,10768.000,13392.000,14518.000,13807.000,10654.000,9500.000,10489.000,82092.000,47710.000,,47613.000,47506.000,90589.000,175.000,218.000,202.000,185.000,175.000,270.000,220.000,296.000
2.01.06,Provisões,0.000,0.000,0.000,0.000,0.000,0.000,2420667.000,1034941.000,1030457.000,1109155.000,1156226.000,1006414.000,1029792.000,1303787.000,1540513.000,44078.000,0.000,110229.000,144499.000,397065.000,466100.000,478980.000,343113.000,370315.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,23923.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2.02,Passivo Não Circulante,2351458.000,2383132.000,2314264.000,2217408.000,2157388.000,1790314.000,1479734.000,1482188.000,1459070.000,1460509.000,1461309.000,1464081.000,1466196.000,1461727.000,1464495.000,3340444.000,3371679.000,3397313.000,3439664.000,3472275.000,3508234.000,3540394.000,3577727.000,3696756.000,3712790.000,3622472.000,3603256.000,3452304.000,2941528.000,2939665.000,2939815.000,3002178.000,3000086.000,2999269.000,3023958.000,3029751.000,3040741.000,3048886.000,259445.000,259513.000,483948.000,0.000,469110.000,492066.000,519245.000,49916.000,50161.000,50123.000,45259.000,50797.000,62825.000,64267.000,27594.000
