codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,85.3172,19.0464,46.1815,183.6082,-79.6012,-76.6563
P_VPA,P/VPA,Valuation,x,2.9114,3.3241,2.2763,1.8861,1.3158,1.2671
EV_EBITDA,EV/EBITDA,Valuation,x,25.7157,42.6479,27.3775,60.2988,-160.2449,-154.6066
EV_EBIT,EV/EBIT,Valuation,x,27.5748,47.0532,29.1885,70.3358,-99.9224,-96.4066
EV_RECEITA,EV/Receita,Valuation,x,19.9075,27.7889,18.9105,21.025,10.0066,9.6546
DY,Dividend Yield,Valuation,%,,0.7547,8.0148,0.6212,0.8117,0.8428
PAYOUT,Payout,Valuation,%,,14.3743,370.1352,114.0497,26.9062,26.9062
ROE,ROE,Rentabilidade,%,5.4627,18.5112,4.6941,1.0268,3.7529,3.7529
ROA,ROA,Rentabilidade,%,3.7719,13.8355,3.6736,0.7779,2.9095,2.9095
ROIC,ROIC,Rentabilidade,%,6.6667,4.5517,4.767,1.6763,-0.8558,-0.8558
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,77.4138,65.1588,69.0731,34.868,-6.2446,-6.2446
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,36.4679,144.3707,38.3904,10.73,28.7094,28.7094
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.6089,0.4472,1.7101,3.7969,-7.84,-7.84
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.0706,0.0352,0.1517,0.1267,0.0677,0.0677
ICJ,ICJ,Endividamento,x,4.2887,3.4539,3.5997,1.2697,-0.4923,-0.4923
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,81.6491,100.0,41.3483,57.2903,66.7988,66.7988
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.1087,0.513,0.5345,0.5576,0.8204,0.8204
LIQ_SECA,Liquidez Seca,Liquidez,x,1.1087,0.513,0.5345,0.5576,0.8204,0.8204
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.4675,0.6419,0.4044,0.4477,0.3859,0.3859
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.1034,0.0975,0.0973,0.0725,0.1057,0.1057
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,213.041,183.8743,109.9828,169.3578,67.3179,67.3179
PME,PME,Eficiência,dias,0.1008,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,43.2534,-22.75,14.3525,17.4472,12.7309,12.7309
