cd_conta,ds_conta,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,43515.000,1950.000,6387.000,22289.500,38192.000,2921.000,15539.000,47615.000,23717.000,22879.000,23916.000,24499.000,24986.000,24874.000,22597.000,19269.000,16320.000,17791.000,17949.000,16272.000,21964.000,29897.000,22057.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-39.000,-3132.000,-873.000,-469.000,-65.000,-2787.000,-2904.000,-1384.000,-1470.000,-1961.000,-1759.000,-1601.000,-1224.000,-1224.000,-1433.000,-1252.000,-1207.000,-1203.000,-1178.000,-1165.000,-1118.000,-1117.000,-996.000
3.03,Resultado Bruto,43476.000,-1182.000,5514.000,21820.500,38127.000,134.000,12635.000,46231.000,22247.000,20918.000,22157.000,22898.000,23762.000,23650.000,21164.000,18017.000,15113.000,16588.000,16771.000,15107.000,20846.000,28780.000,21061.000
3.04,Despesas/Receitas Operacionais,1192.000,-427.000,-427.000,611.500,1650.000,-9785.000,-6613.000,-7104.000,-12130.000,-12228.000,2167.000,-9917.000,-9482.000,-8545.000,-4662.000,-4477.000,-2811.000,-10979.000,-5400.000,-23963.000,-5306.000,-19649.000,-45908.000
3.04.02,Despesas Gerais e Administrativas,-572.000,-411.000,-414.000,-532.500,-651.000,-3779.000,-4687.000,-5192.000,-6205.000,-11089.000,-3624.000,-7681.000,-4699.000,-5915.000,-6574.000,-7368.000,-6684.000,-7820.000,-8504.000,-8857.000,-6402.000,-5719.000,-7581.000
3.04.05,Outras Despesas Operacionais,1764.000,-16.000,-13.000,1144.000,2301.000,-6006.000,-1926.000,-1912.000,-5925.000,-1139.000,5791.000,-2236.000,-4783.000,-2630.000,1912.000,2891.000,3873.000,-3159.000,3104.000,-15106.000,0.000,-13930.000,-38327.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,44668.000,-1609.000,5087.000,22432.000,39777.000,-9651.000,6022.000,39127.000,10117.000,8690.000,24324.000,12981.000,14280.000,15105.000,16502.000,13540.000,12302.000,5609.000,11371.000,-8856.000,15540.000,9131.000,-24847.000
3.06,Resultado Financeiro,5589.000,-2234.000,1787.000,-488.000,-2763.000,3698.000,-8244.000,-7382.000,-7219.000,-3226.000,-3174.000,2919.000,-3141.000,-5066.000,-5306.000,2167.000,-2620.000,-6480.000,-1048.000,-472.000,-3816.000,-3413.000,-3858.000
3.06.01,Receitas Financeiras,5967.000,-2209.000,1785.000,1003.000,221.000,45.000,1918.000,677.000,612.000,1130.000,854.000,2888.000,514.000,383.000,434.000,3832.000,1866.000,1532.000,1889.000,-1124.000,2032.000,1774.000,2802.000
3.06.02,Despesas Financeiras,-378.000,-25.000,2.000,-1491.000,-2984.000,3653.000,-10162.000,-8059.000,-7831.000,-4356.000,-4028.000,31.000,-3655.000,-5449.000,-5740.000,-1665.000,-4486.000,-8012.000,-2937.000,652.000,-5848.000,-5187.000,-6660.000
3.07,Resultado Antes dos Tributos sobre o Lucro,50257.000,-3843.000,6874.000,21944.000,37014.000,-5953.000,-2222.000,31745.000,2898.000,5464.000,21150.000,15900.000,11139.000,10039.000,11196.000,15707.000,9682.000,-871.000,10323.000,-9328.000,11724.000,5718.000,-28705.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-17087.000,1293.000,-2434.000,-8024.500,-13615.000,826.000,1868.000,-11639.000,-2583.000,-2454.000,-6354.000,103147.000,-2966.000,-4592.000,-3214.000,-2095.000,-3260.000,177.000,-2955.000,3564.000,-2018.000,-712.000,10372.000
3.09,Resultado Líquido das Operações Continuadas,33170.000,-2550.000,4440.000,13919.500,23399.000,-5127.000,-354.000,20106.000,315.000,3010.000,14796.000,119047.000,8173.000,5447.000,7982.000,13612.000,6422.000,-694.000,7368.000,-5764.000,9706.000,5006.000,-18333.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,33170.000,-2550.000,4440.000,13919.500,23399.000,-5127.000,-354.000,20106.000,315.000,3010.000,14796.000,119047.000,8173.000,5447.000,7982.000,13612.000,6422.000,-694.000,7368.000,-5764.000,9706.000,5006.000,-18333.000
3.11.01,Atribuído a Sócios da Empresa Controladora,33170.000,-2550.000,0.000,11699.500,23399.000,-5127.000,0.000,-18272.000,315.000,3010.000,14796.000,119047.000,8173.000,0.000,7982.000,19059.000,6422.000,0.000,7368.000,-6458.000,9706.000,0.000,-18333.000
3.11.02,Atribuído a Sócios Não Controladores,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.99,Lucro por Ação (Reais/Ação),0.345,-0.026,0.046,0.145,0.243,1.302,-0.004,-1.302,0.003,0.031,0.154,1.237,0.085,0.057,0.083,0.141,0.067,-0.007,0.077,-0.060,0.101,0.052,-0.191
