codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,3487715.6,1152555.86,695358.78,716177.91,1394745.12,1252734.2,2671587.59,3175808.22
P_L,P/L,Valuation,x,70.1627,9.699,3.4036,5.4708,5.6555,3.192,5.3589,6.3703
P_VPA,P/VPA,Valuation,x,30.1909,0.8863,0.5563,0.5702,0.986,0.7195,1.4751,1.7535
EV_EBITDA,EV/EBITDA,Valuation,x,65.8329,2.4369,1.3088,3.836,5.6181,2.8513,5.4344,6.4293
EV_EBIT,EV/EBIT,Valuation,x,65.8329,2.4369,1.3088,3.836,5.6181,2.8513,5.4344,6.4293
EV_RECEITA,EV/Receita,Valuation,x,17.943,0.8055,0.3793,0.5977,1.369,0.7306,1.5244,1.8035
DY,Dividend Yield,Valuation,%,12.7064,38.4505,61.8201,60.023,29.5392,32.212,15.1045,12.7064
PAYOUT,Payout,Valuation,%,891.5152,372.9326,210.4108,328.3767,167.058,102.822,80.9431,80.9431
ROE,ROE,Rentabilidade,%,43.0299,16.7858,16.0217,10.4475,18.4693,24.8734,28.9677,28.9677
ROA,ROA,Rentabilidade,%,13.5864,11.539,11.8613,7.1151,11.894,13.8282,14.7975,14.7975
ROIC,ROIC,Rentabilidade,%,33.1289,17.9324,14.8317,6.5504,11.5628,16.1703,17.6636,17.6636
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,27.2554,33.0553,28.9794,15.5804,24.3684,25.6221,28.0516,28.0516
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,25.6491,33.0542,33.5321,23.5731,27.301,25.3312,27.5939,27.5939
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.1948,-7.2618,-2.6295,-4.4414,-0.7179,-0.3045,0.163,0.163
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.0891,-0.6636,-0.3714,-0.3059,-0.1117,-0.0694,0.0456,0.0456
ICJ,ICJ,Endividamento,x,50.6443,44.6416,57.3815,25.9281,26.4768,14.3869,7.2236,7.2236
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,8.7732,5.3867,16.4656,2.0238,11.4993,3.374,19.0746,19.0746
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.5813,4.7709,3.1746,4.5328,4.9256,4.9257,3.5245,3.5245
LIQ_SECA,Liquidez Seca,Liquidez,x,1.2311,3.8735,2.0752,2.1786,2.5488,3.15,2.2116,2.2116
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.3703,4.2713,3.4547,2.7868,2.6116,1.9204,1.7606,1.7606
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.5297,0.2122,0.3479,0.2879,0.4072,0.448,0.4499,0.4499
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,508.739,651.2865,547.9521,940.1723,692.1147,513.0616,553.8443,553.8443
PME,PME,Eficiência,dias,405.5769,451.5243,399.7423,768.7821,499.8653,333.3767,359.2818,359.2818
NCG_RECEITA,NCG/Receita,Eficiência,%,53.0758,51.9083,51.5441,135.8627,114.5814,86.9241,88.2793,88.2793
