codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,8.1852,3.0549,5.9474,5.9022,3.6574,6.0508,7.2813
P_VPA,P/VPA,Valuation,x,0.8863,0.5563,0.5702,0.986,0.7195,1.62,1.9495
EV_EBITDA,EV/EBITDA,Valuation,x,2.4369,1.3088,3.836,5.6181,2.8513,5.9521,7.1294
EV_EBIT,EV/EBIT,Valuation,x,2.4369,1.3088,3.836,5.6181,2.8513,5.9521,7.1294
EV_RECEITA,EV/Receita,Valuation,x,0.8055,0.3793,0.5977,1.369,0.7306,1.6697,1.9999
DY,Dividend Yield,Valuation,%,,20.9857,18.0861,10.1594,11.7343,7.8391,6.5143
PAYOUT,Payout,Valuation,%,,71.427,98.9461,57.4562,37.4562,46.1342,46.1342
ROE,ROE,Rentabilidade,%,9.1385,16.0217,10.4475,18.4693,24.8734,28.9677,28.9677
ROA,ROA,Rentabilidade,%,7.0157,11.8613,7.1151,11.894,13.8282,14.7975,14.7975
ROIC,ROIC,Rentabilidade,%,17.9324,14.8317,6.5504,11.5628,16.1703,17.6636,17.6636
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,33.0553,28.9794,15.5804,24.3684,25.6221,28.0516,28.0516
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,33.0542,33.5321,23.5731,27.301,25.3312,27.5939,27.5939
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-7.2618,-2.6295,-4.4414,-0.7179,-0.3045,0.163,0.163
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.6636,-0.3714,-0.3059,-0.1117,-0.0694,0.0456,0.0456
ICJ,ICJ,Endividamento,x,44.6416,57.3815,24.1076,26.4768,14.3869,7.2236,7.2236
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,5.3867,16.4656,2.0238,11.4993,3.374,19.0746,19.0746
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,4.7709,3.1746,4.5328,4.9256,4.9257,3.5245,3.5245
LIQ_SECA,Liquidez Seca,Liquidez,x,3.8735,2.0752,2.1786,2.5488,3.15,2.2116,2.2116
LIQ_GERAL,Liquidez Geral,Liquidez,x,4.2713,3.4547,2.7868,2.6116,1.9204,1.7606,1.7606
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.2122,0.3479,0.2879,0.4072,0.448,0.4499,0.4499
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,651.2865,547.9521,940.1723,692.1147,513.0616,553.8443,553.8443
PME,PME,Eficiência,dias,451.5243,399.7423,768.7821,499.8653,333.3767,359.2818,359.2818
NCG_RECEITA,NCG/Receita,Eficiência,%,51.9083,51.5441,135.8627,114.5814,86.9241,88.2793,88.2793
