codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,13.1051,18.436,10.4612,16.2191,20.4055,14.4191,12.1993,8.7553,10.3067,10.261,12.2559,10.5903
P_VPA,P/VPA,Valuation,x,4.4614,5.734,5.6822,4.5009,5.2154,4.324,4.4666,3.3368,3.7983,4.4973,1.7769,1.5354
EV_EBITDA,EV/EBITDA,Valuation,x,8.3667,12.6794,8.3846,10.9077,13.664,8.7023,9.2068,6.4941,7.5827,7.493,2.1607,1.756
EV_EBIT,EV/EBIT,Valuation,x,8.3667,12.6794,8.3846,10.9077,13.664,8.7023,9.2068,6.4941,7.5827,7.493,2.1607,1.756
EV_RECEITA,EV/Receita,Valuation,x,2.0665,2.617,3.3596,2.6146,2.9181,2.538,2.5383,1.958,2.3122,2.2573,0.6949,0.5647
DY,Dividend Yield,Valuation,%,2.6023,1.5618,1.7689,1.0702,1.0961,1.7183,1.6687,1.4039,1.2311,4.638,7.8548,9.0903
PAYOUT,Payout,Valuation,%,34.3207,28.9194,18.5224,17.4195,22.4092,24.9213,21.9155,12.3046,12.6838,47.519,31.365,31.365
ROE,ROE,Rentabilidade,%,33.8276,31.9719,61.9128,29.1352,26.5174,30.9693,32.7635,39.1336,39.7631,41.2196,44.6996,44.6996
ROA,ROA,Rentabilidade,%,18.4972,16.9208,36.6017,18.7858,16.6741,19.4982,19.7847,22.8324,24.4556,25.1576,25.2044,25.2044
ROIC,ROIC,Rentabilidade,%,63.7729,69.0403,77.546,45.7751,44.559,72.3401,42.4533,39.6583,41.9823,53.1172,76.8642,76.8642
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,24.6989,20.6396,40.0687,23.97,21.3565,29.1651,27.5696,30.1506,30.4933,30.126,32.1587,32.1587
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,17.6973,15.8274,34.9848,17.9212,15.7453,20.3769,20.6976,23.7256,24.1468,23.6338,23.9826,23.9826
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-1.0832,-1.5205,-0.7579,-1.262,-1.4089,-1.4311,-0.6527,-0.4026,-0.5758,-0.5447,-0.8172,-0.8172
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.5114,-0.614,-0.471,-0.4667,-0.4875,-0.6107,-0.2957,-0.1948,-0.2681,-0.3048,-0.4876,-0.4876
ICJ,ICJ,Endividamento,x,4.8685,3.3146,22.2785,46.3627,28.1393,32.3183,33.7353,35.4594,13.5013,11.9892,11.3488,11.3488
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,,,,,,,,,,,,
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.7303,1.8945,1.4703,1.3581,1.6371,1.815,0.9843,0.6951,0.7977,0.6409,0.9174,0.9174
LIQ_SECA,Liquidez Seca,Liquidez,x,1.7292,1.888,1.4633,1.3521,1.6303,1.8079,0.9768,0.6885,0.7955,0.6409,0.9174,0.9174
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.1791,1.2013,1.7624,1.401,1.4295,1.5092,1.3079,1.3599,1.5753,1.2796,1.3182,1.3182
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.0452,1.0052,1.0343,0.9662,1.0227,0.9189,0.9527,0.9419,0.9791,1.075,1.0649,1.0649
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,28.5374,27.6823,22.5987,29.5117,30.0615,25.0193,26.6052,29.322,13.4672,3.0723,0.408,0.408
PME,PME,Eficiência,dias,0.1996,1.0798,2.7203,1.592,1.5295,1.9597,2.1758,2.343,0.3499,0.0135,0.0048,0.0048
NCG_RECEITA,NCG/Receita,Eficiência,%,-10.5478,-11.2406,-16.4304,-18.6178,-12.4793,-16.5548,-18.5011,-23.6406,-23.7499,-28.4444,-29.1212,-29.1212
