codigo,nome,categoria,unidade,2018,2019,2020,2021,2022,2023,2024,LTM
P_L,P/L,Valuation,x,,,,,,,,
P_VPA,P/VPA,Valuation,x,,,,,,,,
EV_EBITDA,EV/EBITDA,Valuation,x,,,,,,,,
EV_EBIT,EV/EBIT,Valuation,x,,,,,,,,
EV_RECEITA,EV/Receita,Valuation,x,,,,,,,,
DY,Dividend Yield,Valuation,%,,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,,
ROE,ROE,Rentabilidade,%,5.8469,12.4828,7.1683,9.1,69.3091,129.5553,-197.9727,-197.9727
ROA,ROA,Rentabilidade,%,1.8573,2.813,1.2037,1.3534,7.0274,4.8445,31.1545,31.1545
ROIC,ROIC,Rentabilidade,%,8.7697,6.0586,6.0864,2.7842,4.9129,3.8708,-230.8518,-230.8518
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,5.447,8.3936,8.1387,7.8194,7.2867,3.6817,-14.1437,-14.1437
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,1.1459,2.2576,0.8881,0.8865,4.3572,3.3464,23.598,23.598
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,3.9278,3.0601,2.99,3.3708,3.3729,7.5898,-2.1064,-2.1064
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,1.0916,1.2952,1.9119,2.6148,5.858,30.714,-1.199,-1.199
ICJ,ICJ,Endividamento,x,1.4906,0.9127,1.0742,0.3639,0.2947,0.1578,-0.9489,-0.9489
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,43.8175,29.8985,37.5043,37.6504,31.4906,19.233,100.0,100.0
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.3151,1.088,0.879,0.9046,0.818,0.7071,0.2166,0.2166
LIQ_SECA,Liquidez Seca,Liquidez,x,1.297,1.076,0.8555,0.8742,0.7907,0.6847,0.2132,0.2132
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.7423,0.5429,0.4838,0.5514,0.4701,0.5047,0.4213,0.4213
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.6207,0.9168,1.2303,1.4095,1.5375,1.3856,1.3995,1.3995
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,63.4744,53.461,50.223,52.4788,32.757,32.1115,-2.6731,-2.6731
PME,PME,Eficiência,dias,1.7221,1.8928,3.4154,3.7846,3.1615,3.1289,1.0295,1.0295
NCG_RECEITA,NCG/Receita,Eficiência,%,14.5198,4.0041,2.2708,5.131,-0.3612,-6.1106,-39.6847,-39.6847
