codigo,nome,categoria,unidade,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,1320160.0,1320160.0,1320160.0,1320160.0,4274957.57,3186036.36,2025357.57,1677333.33,1820848.48,1600193.94
P_L,P/L,Valuation,x,12.8012,10.711,6.593,5.1907,13.1999,8.838,8.1836,7.8554,5.7546,5.0572
P_VPA,P/VPA,Valuation,x,9.5431,5.9111,4.9676,5.9643,2.6148,1.7526,1.0151,0.7799,0.7799,0.6854
EV_EBITDA,EV/EBITDA,Valuation,x,8.5856,7.0553,4.7766,4.6149,8.1613,6.3117,6.7586,5.3024,5.0339,4.4935
EV_EBIT,EV/EBIT,Valuation,x,8.5856,7.0553,4.7766,4.6149,8.1613,6.3117,6.7586,5.3024,5.0339,4.4935
EV_RECEITA,EV/Receita,Valuation,x,2.2843,1.8313,1.4732,1.5196,2.7273,2.0286,1.6221,0.9938,1.1618,1.037
DY,Dividend Yield,Valuation,%,10.3002,10.3002,10.3002,10.3002,3.8556,5.1733,8.138,9.8265,9.052,10.3002
PAYOUT,Payout,Valuation,%,131.8553,110.3257,67.9091,53.4659,50.8929,45.7219,66.5979,77.1919,52.0909,52.0909
ROE,ROE,Rentabilidade,%,74.5489,68.1577,81.8819,104.4264,34.8949,20.881,12.9808,10.3005,14.3192,14.3192
ROA,ROA,Rentabilidade,%,28.1708,25.6714,30.0523,25.293,17.9891,14.9362,8.9145,6.6053,9.2215,9.2215
ROIC,ROIC,Rentabilidade,%,47.3462,39.9355,51.5994,36.8471,27.7358,20.0838,9.8992,9.7894,10.4883,10.4883
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,26.6058,25.9559,30.8415,32.9269,33.4179,32.1407,24.0008,18.7415,23.0789,23.0789
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,16.6966,15.7579,20.4847,21.5205,23.7019,25.623,18.0304,12.171,17.8863,17.8863
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.5522,0.5526,0.3976,1.2224,-1.2008,-0.7341,0.6108,0.201,0.5741,0.5741
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.656,0.5023,0.451,2.149,-0.3354,-0.1826,0.1009,0.0307,0.1004,0.1004
ICJ,ICJ,Endividamento,x,9.988,6.5836,13.1914,8.9099,14.7293,8.2898,6.446,3.924,3.7264,3.7264
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,99.0974,14.4018,26.827,9.174,25.0087,26.8006,12.3276,13.1247,42.3571,42.3571
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.1092,2.4763,1.9086,2.2002,4.9459,4.5212,4.6256,3.1159,2.8976,2.8976
LIQ_SECA,Liquidez Seca,Liquidez,x,0.573,1.6397,1.1943,1.3001,3.7306,2.9879,2.7542,1.989,1.8522,1.8522
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.129,1.2122,1.1064,0.8046,2.5053,2.5066,1.846,1.6484,1.6158,1.6158
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.6872,1.3164,1.3237,0.9286,0.5869,0.563,0.4495,0.5142,0.4885,0.4885
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,106.8273,122.9586,119.1554,187.2875,241.8113,305.0989,302.031,203.0374,256.6324,256.6324
PME,PME,Eficiência,dias,127.1226,117.7244,123.3497,188.3837,214.2342,277.185,256.4797,199.1811,241.871,241.871
NCG_RECEITA,NCG/Receita,Eficiência,%,18.4672,22.4563,15.79,24.1681,38.3713,53.0697,64.5218,40.9661,68.382,68.382
