codigo,nome,categoria,unidade,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,5.3963,10.2273,4.4452,7.3437,9.1108,4.299,2.7118,13.7557,13.7557
P_VPA,P/VPA,Valuation,x,,1.7789,2.5796,1.422,1.4899,1.1102,1.3025,0.847,1.1668,1.1668
EV_EBITDA,EV/EBITDA,Valuation,x,,6.0999,14.3677,4.4197,7.6549,6.0366,3.6237,2.7893,7.4026,7.4026
EV_EBIT,EV/EBIT,Valuation,x,,8.2755,19.9746,4.9394,10.9536,6.8794,3.8898,3.1468,10.6381,10.6381
EV_RECEITA,EV/Receita,Valuation,x,,0.202,0.2845,0.2767,0.2194,0.1502,0.1801,0.1602,0.2401,0.2401
DY,Dividend Yield,Valuation,%,,9.4668,12.987,5.9874,12.419,6.8419,4.5478,10.1763,4.8557,4.8557
PAYOUT,Payout,Valuation,%,,51.0857,132.8224,26.6153,91.2005,62.3349,19.5508,27.5963,66.7938,66.7938
ROE,ROE,Rentabilidade,%,13.041,34.4965,23.9649,37.2384,20.3712,12.335,33.6297,35.2586,8.6682,8.6682
ROA,ROA,Rentabilidade,%,4.8439,13.0043,8.6349,14.4115,8.0275,4.099,11.2683,13.7693,3.3358,3.3358
ROIC,ROIC,Rentabilidade,%,10.7278,12.9068,6.7758,17.3173,7.6388,10.1097,20.2513,18.8439,6.7508,6.7508
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,3.0437,3.3108,1.9803,6.2613,2.8658,2.4878,4.9691,5.7427,3.2441,3.2441
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,1.3611,3.2658,2.3277,4.7914,1.919,0.8471,2.9249,3.6959,0.9888,0.9888
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.643,0.777,2.3461,1.018,2.7375,2.9344,1.0932,1.044,3.2097,3.2097
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.4792,0.2597,0.5034,0.4256,0.8294,1.0502,0.5627,0.5066,0.8932,0.8932
ICJ,ICJ,Endividamento,x,3.8097,,,,,1.9503,6.9585,37.961,2.4522,2.4522
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,4.5416,4.2893,64.0738,25.6869,10.5328,10.3617,9.4729,13.3362,9.2699,9.2699
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.4253,2.8071,1.4217,1.9232,2.4199,2.3113,2.3608,3.0351,2.0862,2.0862
LIQ_SECA,Liquidez Seca,Liquidez,x,1.69,2.1662,1.0249,1.4126,1.6468,1.6096,1.7652,2.3176,1.5442,1.5442
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.1688,1.2159,1.0875,1.2902,1.2078,0.9927,1.1145,1.2807,0.9822,0.9822
GIRO_ATIVO,Giro do Ativo,Eficiência,x,3.5589,3.8576,3.6722,2.8771,3.8402,4.4137,3.7475,3.5158,3.0013,3.0013
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,26.1244,22.3719,21.4289,23.9587,22.3612,17.102,16.9495,18.4203,15.7542,15.7542
PME,PME,Eficiência,dias,14.9386,11.4485,13.7972,16.5646,16.5705,13.9752,13.8657,13.4075,13.033,13.033
NCG_RECEITA,NCG/Receita,Eficiência,%,7.1198,5.5477,5.9009,6.4392,6.3426,5.6639,5.1593,5.5854,4.9388,4.9388
