codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,248.5959,26.4047,21.9389,2.1258,0.7368,0.6309
P_VPA,P/VPA,Valuation,x,2.4177,1.1412,2.5593,0.4509,1.3226,1.1325
EV_EBITDA,EV/EBITDA,Valuation,x,19.6865,8.3402,10.4899,24.7788,-4.0499,-3.8954
EV_EBIT,EV/EBIT,Valuation,x,33.7917,11.4446,14.0515,-42.645,-2.9451,-2.8328
EV_RECEITA,EV/Receita,Valuation,x,2.2162,1.3173,1.9406,0.8214,1.0062,0.9678
DY,Dividend Yield,Valuation,%,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,
ROE,ROE,Rentabilidade,%,0.9726,4.6085,11.7685,23.6704,105.7267,105.7267
ROA,ROA,Rentabilidade,%,0.3716,1.5965,3.5925,7.0393,27.6302,27.6302
ROIC,ROIC,Rentabilidade,%,4.2992,6.1943,7.7284,-1.1354,-23.961,-23.961
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,11.2576,15.7945,18.4993,3.315,-24.8448,-24.8448
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,0.8296,2.7829,5.6946,11.5208,47.681,47.681
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.3663,3.6879,3.7366,17.3908,-2.9752,-2.9752
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.1803,0.9046,1.416,1.0614,3.6614,3.6614
ICJ,ICJ,Endividamento,x,0.9762,0.9601,1.0898,-0.1371,-1.6835,-1.6835
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,16.2911,11.5997,10.4105,14.8576,19.8111,19.8111
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.4113,1.501,1.7096,1.8999,1.1222,1.1222
LIQ_SECA,Liquidez Seca,Liquidez,x,2.353,1.414,1.596,1.8081,1.0596,1.0596
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.8219,0.5714,0.5753,0.7766,0.5324,0.5324
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.4479,0.4974,0.5978,0.5559,0.7221,0.7221
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,18.4657,61.2814,62.2526,49.83,34.9388,34.9388
PME,PME,Eficiência,dias,13.63,22.3877,20.8695,19.4596,14.9326,14.9326
NCG_RECEITA,NCG/Receita,Eficiência,%,2.2831,6.2066,18.252,18.1969,13.8786,13.8786
