cd_conta,conta,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3
1,Ativo Total,35905000.000,36659000.000,39805000.000,39973000.000,18821000.000,17616000.000,20481000.000,20769000.000
1.01,Ativo Circulante,12282000.000,12017000.000,12606000.000,12418000.000,8349000.000,7085000.000,9371000.000,8881000.000
1.01.01,Caixa e Equivalentes de Caixa,5026000.000,3777000.000,4618000.000,3898000.000,3532000.000,2764000.000,4511000.000,2881000.000
1.01.02,Aplicações Financeiras,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.03,Contas a Receber,697000.000,588000.000,650000.000,724000.000,216000.000,233000.000,264000.000,362000.000
1.01.04,Estoques,5190000.000,5806000.000,5651000.000,6383000.000,3739000.000,3436000.000,3688000.000,4460000.000
1.01.05,Ativos Biológicos,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.06,Tributos a Recuperar,1119000.000,981000.000,1256000.000,1090000.000,768000.000,562000.000,683000.000,935000.000
1.01.07,Despesas Antecipadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.01.08,Outros Ativos Circulantes,250000.000,865000.000,431000.000,323000.000,94000.000,90000.000,225000.000,243000.000
1.02,Ativo Não Circulante,23623000.000,24642000.000,27199000.000,27555000.000,10472000.000,10531000.000,11110000.000,11888000.000
1.02.01,Ativo Realizável a Longo Prazo,1312000.000,1572000.000,1325000.000,1223000.000,1190000.000,1107000.000,1105000.000,1121000.000
1.02.02,Investimentos,3371000.000,3562000.000,3970000.000,4076000.000,769000.000,784000.000,798000.000,810000.000
1.02.03,Imobilizado,14652000.000,15049000.000,16975000.000,17303000.000,7476000.000,7603000.000,8160000.000,8897000.000
1.02.04,Intangível,4288000.000,4459000.000,4929000.000,4953000.000,1037000.000,1037000.000,1047000.000,1060000.000
