codigo,nome,categoria,unidade,2019,2020,2021,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,2007269.72,2007269.72,4870580.94,10114793.98
P_L,P/L,Valuation,x,1.8937,1.29,2.257,0.9302
P_VPA,P/VPA,Valuation,x,0.2069,1.4902,2.0277,0.8357
EV_EBITDA,EV/EBITDA,Valuation,x,2.3741,1.365,2.1298,3.2299
EV_EBIT,EV/EBIT,Valuation,x,3.3578,3.0495,3.1757,4.816
EV_RECEITA,EV/Receita,Valuation,x,0.1919,0.175,0.1959,0.2972
DY,Dividend Yield,Valuation,%,0.1945,0.1945,0.0801,0.1945
PAYOUT,Payout,Valuation,%,0.3682,0.2509,0.1809,0.1809
ROE,ROE,Rentabilidade,%,10.9267,28.168,28.5828,28.5828
ROA,ROA,Rentabilidade,%,2.9522,5.6865,7.1055,7.1055
ROIC,ROIC,Rentabilidade,%,8.4505,24.1743,27.4599,27.4599
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,8.0841,12.818,9.2004,9.2004
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,3.5062,4.3171,4.165,4.165
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.5528,0.9305,1.108,1.108
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.3912,3.1915,2.199,2.199
ICJ,ICJ,Endividamento,x,,,7.4005,7.4005
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,16.6875,27.0719,29.1437,29.1437
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.8817,0.9503,0.9688,0.9688
LIQ_SECA,Liquidez Seca,Liquidez,x,0.5091,0.5247,0.4823,0.4823
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.5188,0.5459,0.5446,0.5446
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.842,1.915,2.4947,2.4947
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,-57.941,-13.6028,-4.5057,-4.5057
PME,PME,Eficiência,dias,75.0633,44.6759,36.8392,36.8392
NCG_RECEITA,NCG/Receita,Eficiência,%,-17.2069,-5.13,-1.5209,-1.5209
