codigo,nome,categoria,unidade,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,857013.4,1431897.29,2334900.19,1185881.11,665695.64,435750.0,483608.35,600077.58,662574.98,3161322.22,3789633.94,2839593.3,2656174.6,3247190.43,2336937.05,4346839.18,5743550.83
P_L,P/L,Valuation,x,4.0148,6.486,12.6784,3.7067,15.4457,3.9707,-1.93,-22.005,3.3902,9.6772,5.9319,2.8939,4.2022,6.5222,2.7125,3.341,4.4145
P_VPA,P/VPA,Valuation,x,0.7947,1.2259,1.7983,0.535,0.2907,0.1635,0.2181,0.2794,0.2922,1.0342,0.9903,0.6246,0.5148,0.6217,0.4004,0.647,0.8549
EV_EBITDA,EV/EBITDA,Valuation,x,3.4211,5.5781,11.0985,4.6542,11.2367,4.5442,-16.4179,9.3483,4.5611,5.9001,5.1272,3.1838,5.0165,6.0111,4.0847,4.0521,4.77
EV_EBIT,EV/EBIT,Valuation,x,3.7826,6.9171,12.9196,5.0378,11.7882,4.7166,-12.1594,10.0311,4.9293,6.2696,5.2876,3.5375,5.3705,6.3718,4.3304,4.3306,5.0979
EV_RECEITA,EV/Receita,Valuation,x,1.1653,2.045,3.7888,4.0862,4.5819,3.4259,4.8463,5.3542,3.3348,6.0154,3.6868,1.9622,2.5193,3.6822,3.2958,4.0208,4.7331
DY,Dividend Yield,Valuation,%,17.0495,10.2911,6.3345,12.4616,22.2529,41.2884,37.2493,30.0609,27.4155,6.9512,6.2308,8.1984,8.7646,7.1693,9.9911,5.3714,4.0652
PAYOUT,Payout,Valuation,%,68.4494,66.7477,80.311,46.191,343.7117,163.946,-71.8902,-661.491,92.9438,67.268,36.9606,23.7258,36.8303,46.76,27.1008,17.9455,17.9455
ROE,ROE,Rentabilidade,%,19.7934,19.6546,14.9337,18.2029,1.9128,4.4298,-10.2651,-1.2495,8.8534,12.2718,18.562,23.4373,13.0246,9.5904,15.5802,20.9745,20.9745
ROA,ROA,Rentabilidade,%,9.9693,9.4212,6.3376,7.4682,0.7761,1.7742,-4.4287,-0.5917,4.2115,6.1331,9.7386,12.5047,6.7484,4.653,7.07,9.2592,9.2592
ROIC,ROIC,Rentabilidade,%,13.9686,11.1192,7.3454,9.5214,3.5259,6.8889,-2.8121,3.6306,6.7258,10.8223,12.3759,13.0167,8.0722,7.7488,9.1793,11.7162,11.7162
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,34.0611,36.6616,34.1377,87.795,40.7758,75.3907,-29.5187,57.2744,73.1143,101.9556,71.9059,61.633,50.2205,61.2569,80.686,99.2267,99.2267
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,27.9801,24.2754,20.4995,47.6743,7.1493,17.3925,-65.1592,-7.6626,40.2391,51.3008,54.5773,48.8791,33.2315,31.244,53.5809,66.3567,66.3567
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.1231,1.2834,3.4852,2.6414,8.5286,3.6281,-12.1577,6.4043,2.6952,1.0308,0.6248,0.8887,2.2359,2.6845,2.2834,1.8179,1.8179
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.0297,0.3664,0.8232,0.702,0.9156,0.6476,0.6225,0.6078,0.4221,0.2189,0.1374,0.2418,0.4139,0.5017,0.5076,0.5265,0.5265
ICJ,ICJ,Endividamento,x,3.5338,2.1692,2.1644,5.0656,1.0831,1.6915,-0.4965,1.2354,,3.8599,5.7932,4.2008,2.3161,2.899,2.9879,3.0872,3.0872
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,17.6479,19.4707,7.9726,13.7661,19.5712,29.2093,18.8345,9.8145,11.2996,14.8911,24.5116,13.0818,4.4193,8.1194,24.1368,10.3591,10.3591
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.7368,2.3968,3.6717,3.3398,1.7684,1.1258,1.9079,0.9149,0.9661,2.1638,1.7248,2.4199,4.2072,2.1816,1.7531,2.7987,2.7987
LIQ_SECA,Liquidez Seca,Liquidez,x,2.3861,1.9847,2.8875,2.5275,1.2003,0.8545,1.1459,0.5546,0.8001,1.8062,1.496,2.093,2.7014,1.2355,1.0833,1.6807,1.6807
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.4322,1.2477,1.0292,0.7416,0.5654,0.6302,0.6296,0.4524,0.5446,0.5811,0.8054,0.8756,0.9244,0.7738,0.7248,0.7264,0.7264
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.3563,0.3573,0.275,0.1266,0.1038,0.0961,0.081,0.0797,0.1009,0.1091,0.1607,0.2387,0.1843,0.1438,0.121,0.1252,0.1252
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,239.5706,274.8373,429.6473,682.9761,660.6727,537.5475,1124.3341,268.3635,314.444,266.2307,275.7502,286.4853,716.842,786.3017,1006.6198,1145.4544,1145.4544
PME,PME,Eficiência,dias,117.8821,154.3075,259.1834,423.2262,485.2555,454.7066,723.2835,218.8034,168.0226,169.5944,246.5951,161.8775,546.9592,647.6948,834.9379,1018.4873,1018.4873
NCG_RECEITA,NCG/Receita,Eficiência,%,28.9962,38.6841,75.5342,133.7155,114.4226,91.7982,188.6339,19.2475,-25.5115,22.4428,10.6198,28.8511,89.0076,68.0382,84.2278,92.4503,92.4503
