codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,,,,,,,
P_L,P/L,Valuation,x,,,,,,,
P_VPA,P/VPA,Valuation,x,,,,,,,
EV_EBITDA,EV/EBITDA,Valuation,x,,,,,,,
EV_EBIT,EV/EBIT,Valuation,x,,,,,,,
EV_RECEITA,EV/Receita,Valuation,x,,,,,,,
DY,Dividend Yield,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYOUT,Payout,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROE,ROE,Rentabilidade,%,11.0043,6.9699,7.7217,4.237,0.0814,-2.9648,-2.9648
ROA,ROA,Rentabilidade,%,6.6234,4.1992,4.8067,2.6384,0.0501,-1.8774,-1.8774
ROIC,ROIC,Rentabilidade,%,9.799,4.3914,4.0283,2.5435,0.89,-1.2112,-1.2112
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,17.0601,12.6157,11.4403,10.2469,5.146,-3.171,-3.171
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,12.1262,10.9135,12.8541,8.8683,0.1721,-6.9427,-6.9427
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,0.0771,0.1284,0.2602,2.6958,6.3162,-14.496,-14.496
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.0119,0.0099,0.0173,0.1279,0.1542,0.1992,0.1992
ICJ,ICJ,Endividamento,x,13.5545,4.4207,7.3646,3.8655,1.0143,-2.4256,-2.4256
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,32.1812,13.8112,6.9266,9.2531,26.1809,51.5241,51.5241
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,3.3315,4.4686,4.0697,4.4288,4.3696,3.5132,3.5132
LIQ_SECA,Liquidez Seca,Liquidez,x,1.9963,2.8076,1.9492,2.0138,1.4013,0.8741,0.8741
LIQ_GERAL,Liquidez Geral,Liquidez,x,2.1836,2.0933,2.2926,2.1512,2.2122,2.2675,2.2675
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.5462,0.3682,0.3736,0.2805,0.2966,0.2747,0.2747
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,320.5465,515.4252,573.2603,671.3394,793.5439,954.598,954.598
PME,PME,Eficiência,dias,236.0307,343.3924,461.2563,533.9803,690.1752,854.4073,854.4073
NCG_RECEITA,NCG/Receita,Eficiência,%,55.1917,94.8659,97.143,130.4637,161.934,195.1377,195.1377
