codigo,nome,categoria,unidade,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,92085482.64,50879895.63,48738851.52,21870504.42,1453745.29,54890.68,46314.01,123332.49,90912.69,156438.43,113726.62,189400.0,56800.0,80400.0,65800.0,36489.97
P_L,P/L,Valuation,x,489.582,646.6934,-236.9207,361.1438,-2.3878,-0.0996,-0.0876,-0.3516,-0.1498,-0.5024,-12.7553,-1.0028,-0.1285,0.3157,0.2369,0.1296
P_VPA,P/VPA,Valuation,x,46.421,25.636,20.3737,8.8732,0.7893,0.0433,0.0631,0.3334,-0.3706,-0.278,-0.2054,-0.2614,-0.0512,-0.0942,-0.0676,-0.037
EV_EBITDA,EV/EBITDA,Valuation,x,410.1653,305.9079,1208.9343,115.8254,-10.1237,-5.3191,-6.4914,-4.2025,-3.7078,-5.2359,-2.4827,-2.8968,-1.7644,-1.0501,-1.5871,-1.4756
EV_EBIT,EV/EBIT,Valuation,x,448.9045,367.6513,7622.0721,125.4753,-10.0294,-5.3191,-6.4914,-4.2025,-3.7078,-5.2359,-2.4827,-2.8968,-1.7644,-1.0501,-1.5871,-1.4756
EV_RECEITA,EV/Receita,Valuation,x,39.9029,18.8802,18.95,11.4684,2.1969,1.4458,3.7662,5.6176,10.9306,25.5097,12.4021,13.1678,-17.1153,37.3791,4.9501,4.6026
DY,Dividend Yield,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYOUT,Payout,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROE,ROE,Rentabilidade,%,9.4818,3.9652,-9.4001,2.4937,-28.2738,-35.4387,-52.7866,-63.5698,-974.1439,77.0683,1.5971,29.5461,48.2277,-25.9607,-24.9904,-24.9904
ROA,ROA,Rentabilidade,%,3.6783,1.2847,-2.7427,0.7834,-8.4652,-9.1467,-10.4879,-8.1029,-19.0235,-13.6313,-0.4874,-13.0289,-45.5608,41.8859,49.1964,49.1964
ROIC,ROIC,Rentabilidade,%,3.7763,2.0589,0.0874,2.5457,-5.9327,-7.365,-7.5921,-13.8411,-22.4417,-23.5064,-90.6442,135.3347,45.6028,41.346,27.9373,27.9373
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,9.7285,6.1719,1.5675,9.9015,-21.7009,-27.1816,-58.0182,-133.6716,-294.7977,-487.2049,-499.5509,-454.5661,970.0211,-3559.4333,-311.9052,-311.9052
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,8.0055,2.7731,-7.5782,2.8394,-37.6498,-44.9517,-98.2323,-107.5837,-408.1836,-512.2045,-11.7071,-317.879,1181.841,2568.3473,329.3918,329.3918
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,7.2906,15.3383,63.5123,12.2606,-5.981,-5.1544,-6.343,-3.9195,-3.5005,-4.7077,-2.1837,-2.1955,-1.6079,-0.8224,-1.3369,-1.3369
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.8401,1.3532,1.1297,1.0505,1.1396,1.354,2.699,4.6173,-6.2563,-2.4778,-1.5002,-0.8182,-0.5263,-0.34,-0.3614,-0.3614
ICJ,ICJ,Endividamento,x,3.8734,0.7828,0.0284,0.9095,-1.1956,-1.2192,-1.2306,-1.7017,-2.4489,-1.9019,-2.6839,-2.0821,-3.8524,-3.4186,-1.4072,-1.4072
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,37.0004,36.6688,46.1017,55.6207,55.0228,73.7318,49.7668,34.9495,11.8008,63.8707,98.7203,99.9569,99.9902,100.0,16.9722,16.9722
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.4115,2.3897,1.8404,1.4022,0.9981,0.7015,0.7479,0.7279,1.26,0.486,0.3333,0.2729,0.2609,0.3875,0.4508,0.4508
LIQ_SECA,Liquidez Seca,Liquidez,x,1.7323,1.6929,1.4404,1.0373,0.653,0.4453,0.4303,0.4602,0.879,0.3182,0.2298,0.1039,0.0722,0.1097,0.147,0.147
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.615,1.3571,1.2696,1.2016,1.0364,0.9723,0.8662,0.7849,0.7974,0.6683,0.6686,0.5734,0.3633,0.3663,0.307,0.307
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.4595,0.3977,0.3451,0.2809,0.2381,0.2331,0.1117,0.0849,0.0585,0.03,0.0467,0.0469,-0.0555,0.0183,0.1676,0.1676
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,503.089,550.7327,455.0684,593.655,624.3234,535.1474,1205.2393,1281.1316,2303.2879,3514.8035,2825.8217,1983.5884,150946.4525,5256.9012,1171.8874,1171.8874
PME,PME,Eficiência,dias,220.5757,269.397,183.4308,245.7391,282.3587,256.5161,607.113,489.046,745.6926,1640.5939,1591.5045,1366.0507,178817.048,3490.0035,1018.8589,1018.8589
NCG_RECEITA,NCG/Receita,Eficiência,%,107.176,125.2648,105.484,117.5968,61.9254,25.3259,52.1325,6.7516,254.3833,-31.2573,-502.9478,-1010.2935,1258.9552,-2000.7865,-321.4104,-321.4104
