codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,LTM
P_L,P/L,Valuation,x,-0.1731,-0.09,-0.3639,0.0994,-0.5772,1.0502,-7.4491,-0.1596,0.2986,0.1944,0.0945
P_VPA,P/VPA,Valuation,x,0.0433,0.0631,0.3334,-0.3706,-0.278,-0.2054,-0.2614,-0.0512,-0.0942,-0.0685,-0.0333
EV_EBITDA,EV/EBITDA,Valuation,x,-5.3191,-6.4914,-4.2025,-3.7078,-5.2359,-2.4827,-2.8968,-1.7644,-1.0501,-1.3077,-1.2006
EV_EBIT,EV/EBIT,Valuation,x,-5.3191,-6.4914,-4.2025,-3.7078,-5.2359,-2.4827,-2.8968,-1.7644,-1.0501,-1.3077,-1.2006
EV_RECEITA,EV/Receita,Valuation,x,1.4458,3.7662,5.6176,10.9306,25.5097,12.4021,13.1678,17.1153,7.4359,5.8836,5.4018
DY,Dividend Yield,Valuation,%,,,,,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,,,,,
ROE,ROE,Rentabilidade,%,43.4405,52.7866,63.5698,974.1439,-77.0683,-1.5971,-29.5461,-48.2277,-25.9607,-29.1876,-29.1876
ROA,ROA,Rentabilidade,%,10.477,10.4879,8.1029,19.0235,13.6313,0.4874,13.0289,45.5608,41.8859,57.4593,57.4593
ROIC,ROIC,Rentabilidade,%,-7.365,-7.5921,-13.8411,-22.4417,-23.5064,-90.6442,135.3347,45.6028,41.346,33.9776,33.9776
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,-27.1816,-58.0182,-133.6716,-294.7977,-487.2049,-499.5509,-454.5661,-970.0211,-708.0881,-449.9121,-449.9121
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,44.9517,98.2323,107.5837,408.1836,512.2045,11.7071,317.879,1181.841,510.9286,456.2858,456.2858
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-5.1544,-6.343,-3.9195,-3.5005,-4.7077,-2.1837,-2.1955,-1.6079,-0.8224,-1.0992,-1.0992
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,1.354,2.699,4.6173,-6.2563,-2.4778,-1.5002,-0.8182,-0.5263,-0.34,-0.3614,-0.3614
ICJ,ICJ,Endividamento,x,-1.2192,-1.2306,-1.7017,-2.4489,-1.9019,-2.6839,-2.0821,-2.9079,-2.6297,-1.4427,-1.4427
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,73.7318,49.7668,34.9495,11.8008,63.8707,98.7203,99.9569,99.9902,100.0,16.9722,16.9722
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.7015,0.7479,0.7279,1.26,0.486,0.3333,0.2729,0.2609,0.3875,0.4508,0.4508
LIQ_SECA,Liquidez Seca,Liquidez,x,0.4453,0.4303,0.4602,0.879,0.3182,0.2298,0.1039,0.0722,0.1097,0.147,0.147
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.9723,0.8662,0.7849,0.7974,0.6683,0.6686,0.5734,0.3633,0.3663,0.307,0.307
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.2331,0.1117,0.0849,0.0585,0.03,0.0467,0.0469,0.0555,0.0919,0.1413,0.1413
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,535.1474,1205.2393,1281.1316,2303.2879,3514.8035,2825.8217,1983.5884,152477.7542,3684.5283,1278.0587,1278.0587
PME,PME,Eficiência,dias,256.5161,607.113,489.046,745.6926,1640.5939,1591.5045,1366.0507,178817.048,3490.0035,1092.3434,1092.3434
NCG_RECEITA,NCG/Receita,Eficiência,%,25.3259,52.1325,6.7516,254.3833,-31.2573,-502.9478,-1010.2935,-1258.9552,-398.0221,-381.2039,-381.2039
