cd_conta_padrao,ds_conta_padrao,2020-T2,2020-T3,2020-T4,2021-T2,2021-T3,2021-T4,2022-T2,2022-T3,2022-T4,2023-T2,2023-T3,2023-T4,2024-T2,2024-T3,2024-T4,2025-T2,2025-T3,2025-T4
2,Passivo Total,2699843.0,3015808.0,2544449.0,3543402.0,3560263.0,3461102.0,4704371.0,5303485.0,4249872.0,6302695.0,6554833.0,6119077.0,7215464.0,7415472.0,6701940.0,7445998.0,7446329.0,7137606.0
2.01,Passivo Circulante,632793.0,765503.0,371660.0,640435.0,720934.0,685599.0,775178.0,727988.0,736018.0,855398.0,855008.0,830359.0,831784.0,937485.0,735404.0,1033428.0,1036869.0,1050586.0
2.01.01,Obrigações Sociais e Trabalhistas,27780.0,32884.0,19889.0,29033.0,34849.0,20858.0,35107.0,42306.0,23980.0,53396.0,67281.0,42531.0,59292.0,71559.0,44607.0,58702.0,71486.0,43494.0
2.01.02,Fornecedores,50327.0,73132.0,36761.0,69591.0,70547.0,42992.0,132554.0,126133.0,122140.0,140961.0,141947.0,107104.0,160589.0,181745.0,159389.0,160896.0,155565.0,135137.0
2.01.03,Obrigações Fiscais,16773.0,11517.0,8498.0,18363.0,13731.0,13279.0,13892.0,13715.0,14371.0,22311.0,23624.0,16206.0,47318.0,32156.0,23022.0,27658.0,39224.0,29116.0
2.01.04,Empréstimos e Financiamentos,428954.0,483942.0,257331.0,372679.0,338641.0,481374.0,349945.0,364346.0,347376.0,341583.0,326264.0,343985.0,351272.0,409243.0,386646.0,730242.0,719072.0,753722.0
2.01.05,Outras Obrigações,108959.0,164028.0,49181.0,150769.0,263166.0,127096.0,243680.0,181488.0,228151.0,297147.0,295892.0,320533.0,213313.0,242782.0,121740.0,55930.0,51522.0,89117.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,1501312.0,1618953.0,1571627.0,1654704.0,1632806.0,1639520.0,2420429.0,2899051.0,2125125.0,3460561.0,3703414.0,3351474.0,4311300.0,4387472.0,3891778.0,4423363.0,4401335.0,4083850.0
2.02.01,Empréstimos e Financiamentos,1410117.0,1519730.0,1475003.0,1414706.0,1363312.0,1446576.0,2065113.0,2497816.0,1810520.0,3121276.0,3350797.0,3005099.0,4053829.0,4080881.0,3629833.0,4214006.0,4112230.0,3793978.0
2.02.02,Outras Obrigações,10602.0,3821.0,7248.0,80451.0,148658.0,73576.0,143311.0,126621.0,131909.0,89052.0,159146.0,146498.0,155988.0,191354.0,93039.0,155451.0,238775.0,227517.0
2.02.03,Tributos Diferidos,72677.0,87775.0,81522.0,135968.0,99265.0,95749.0,186137.0,249819.0,157386.0,223563.0,168350.0,173263.0,78666.0,80361.0,147340.0,10126.0,19784.0,20015.0
2.02.04,Provisões,7916.0,7627.0,7854.0,23579.0,21571.0,23619.0,25868.0,24795.0,25310.0,26670.0,25121.0,26614.0,22817.0,34876.0,21566.0,43780.0,30546.0,42340.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,565738.0,631352.0,601162.0,1248263.0,1206523.0,1135983.0,1508764.0,1676446.0,1388729.0,1986736.0,1996411.0,1937244.0,2072380.0,2090515.0,2074758.0,1989207.0,2008125.0,2003170.0
2.03.01,Capital Social Realizado,515600.0,515600.0,456200.0,985639.0,984209.0,989045.0,982096.0,982096.0,982096.0,982096.0,1039321.0,982096.0,1039266.0,1039266.0,1039266.0,1039266.0,1039266.0,1039266.0
2.03.02,Reservas de Capital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,13.0,13.0,77908.0,159003.0,164503.0,131237.0,427334.0,462727.0,392118.0,954213.0,944103.0,941624.0,1022800.0,1007161.0,1022800.0,952021.0,952021.0,952021.0
2.03.05,Lucros/Prejuízos Acumulados,-16435.0,49540.0,0.0,88376.0,42901.0,0.0,85173.0,217806.0,0.0,37178.0,0.0,0.0,-2011.0,32006.0,0.0,-13718.0,5443.0,0.0
2.03.06,Ajustes de Avaliação Patrimonial,66560.0,66199.0,67054.0,15245.0,14910.0,15701.0,14161.0,13817.0,14515.0,13249.0,12987.0,13524.0,12325.0,12082.0,12692.0,11638.0,11395.0,11883.0
2.03.07,Ajustes Acumulados de Conversão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.08,Outros Resultados Abrangentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.09,Participação dos Acionistas Não Controladores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
