codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,25.9652,2.2836,4.2723,39.8762,-120.758,-123.8431
P_VPA,P/VPA,Valuation,x,,,,,,,
EV_EBITDA,EV/EBITDA,Valuation,x,,,,,,,
EV_EBIT,EV/EBIT,Valuation,x,,,,,,,
EV_RECEITA,EV/Receita,Valuation,x,,,,,,,
DY,Dividend Yield,Valuation,%,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,
ROE,ROE,Rentabilidade,%,,35.313,55.0911,33.2685,9.2389,6.8686,6.8686
ROA,ROA,Rentabilidade,%,,10.1992,19.4299,10.3542,2.6668,1.9116,1.9116
ROIC,ROIC,Rentabilidade,%,,23.8093,17.9744,8.6944,4.0975,2.605,2.605
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,99.4668,103.85,112.2453,97.5423,82.8832,82.8832
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,25.8158,51.0346,32.5425,8.5038,5.7697,5.7697
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,0.6697,1.1134,1.3561,1.5908,1.6618,1.6618
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,2.2966,0.6722,0.9784,1.4075,1.6772,1.6659,1.6659
ICJ,ICJ,Endividamento,x,,1.9574,7.2641,3.2794,0.9017,0.6543,0.6543
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,25.0901,19.2831,13.6426,7.5439,8.9449,14.8836,14.8836
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.8836,2.5848,2.8625,3.8758,3.3019,2.7402,2.7402
LIQ_SECA,Liquidez Seca,Liquidez,x,1.5168,2.1252,2.366,2.7664,2.4522,2.1316,2.1316
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.6233,0.7975,0.675,0.6289,0.573,0.5824,0.5824
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.3556,0.3055,0.2843,0.2967,0.3262,0.3262
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,516.6717,256.762,235.1472,270.0897,160.4378,160.4378
PME,PME,Eficiência,dias,,590.2292,284.3076,245.3061,279.415,172.2525,172.2525
NCG_RECEITA,NCG/Receita,Eficiência,%,,43.2011,43.7488,56.1351,52.7802,42.7154,42.7154
