cd_conta,ds_conta,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,189206.000,215118.000,287836.000,245471.000,203106.000,297363.000,267341.000,322927.000,378513.000,333995.000,360353.000,401575.500,442798.000,485906.000,509252.000,477152.000,445052.000,465936.000,495863.000,448565.500,401268.000,542668.000,740385.000,622740.500,505096.000,640689.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-143636.000,-146784.000,-215983.000,-174770.000,-133557.000,-117830.000,-119264.000,-129681.000,-140098.000,-121792.000,-128588.000,-165578.000,-202568.000,-312555.000,-467873.000,-399525.500,-331178.000,-221595.000,-582331.000,-406231.500,-230132.000,-327553.000,-548720.000,-578447.000,-608174.000,-490504.000
3.03,Resultado Bruto,45570.000,68334.000,71853.000,70701.000,69549.000,179533.000,148077.000,193246.000,238415.000,212203.000,231765.000,235997.500,240230.000,173351.000,41379.000,77626.500,113874.000,244341.000,-86468.000,42334.000,171136.000,215115.000,191665.000,44293.500,-103078.000,150185.000
3.04,Despesas/Receitas Operacionais,-1516.000,-12495.000,3600.000,-11160.000,-25920.000,-11035.000,-38003.000,-23550.000,-9097.000,4743.000,13096.000,2021.000,-9054.000,-1906.000,456204.000,206431.000,-43342.000,-44108.000,-24712.000,-22670.000,-20628.000,-47734.000,-63124.000,-62369.000,-61614.000,-70115.000
3.04.02,Despesas Gerais e Administrativas,-10054.000,-15074.000,-29198.000,-22925.000,-16652.000,-15836.000,-18844.000,-21098.000,-23352.000,-22984.000,-24848.000,-27308.000,-29768.000,-18402.000,-34093.000,-31442.500,-28792.000,-38026.000,-36077.000,-36891.000,-37705.000,-17689.000,-41795.000,-37107.500,-32420.000,-43075.000
3.04.05,Outras Despesas Operacionais,-2077.000,-989.000,-467.000,-1274.000,-2081.000,-1452.000,-4121.000,-2247.000,-373.000,-1978.000,-6040.000,-3079.500,-119.000,-784.000,-3486.000,-7950.000,-12414.000,-387.000,-7864.000,-6211.000,-4558.000,-8517.000,-15581.000,-9243.000,-2905.000,-4997.000
3.04.06,Resultado de Equivalência Patrimonial,3031.000,5279.000,1924.000,2885.000,3846.000,5251.000,3835.000,4424.500,5014.000,7259.000,7518.000,5851.000,4184.000,4479.000,3414.000,3914.000,4414.000,8388.000,5557.000,5252.500,4948.000,7743.000,2294.000,2773.000,3252.000,5601.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,44054.000,55839.000,75453.000,59541.000,43629.000,168498.000,110074.000,169696.000,229318.000,216946.000,244861.000,238018.500,231176.000,171445.000,497583.000,284057.500,70532.000,200233.000,-111180.000,19664.000,150508.000,167381.000,128541.000,-18075.500,-164692.000,80070.000
3.06,Resultado Financeiro,-32837.000,-57503.000,-18668.000,-43650.000,-68632.000,-86995.000,-27279.000,-49911.500,-72544.000,-262836.000,-46652.000,-63887.500,-81123.000,71090.000,-100949.000,-51293.500,-1638.000,-312025.000,214217.000,14450.000,-185317.000,-126735.000,-273966.000,-62422.000,149122.000,-71348.000
3.06.01,Receitas Financeiras,27855.000,37423.000,48193.000,52090.500,55988.000,116813.000,111349.000,117643.500,123938.000,88167.000,133329.000,167980.500,202632.000,276626.000,167647.000,115112.500,62578.000,38831.000,309686.000,177794.500,45903.000,36717.000,32271.000,39073.000,45875.000,55756.000
