cd_conta,ds_conta,2020T2,2020T3,2020T4,2021T2,2021T3,2021T4,2022T2,2022T3,2022T4,2023T2,2023T3,2023T4,2024T2,2024T3,2024T4,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,15558332.0,37813827.0,62912184.0,34046663.0,48340224.0,55389286.0,66257978.0,64238157.0,60368346.0,48822001.0,59455906.0,58491707.0,57759456.0,72909908.0,66872368.0,54217561.0,59910616.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-15421526.0,-36427530.0,-60121252.0,-31700240.0,-45705981.0,-51235357.0,-63701703.0,-61985737.0,-56881687.0,-46013223.0,-54867171.0,-53956839.0,-55110578.0,-68537438.0,-63962011.0,-52122850.0,-57192073.0
3.03,Resultado Bruto,136806.0,1386297.0,2790932.0,2346423.0,2634243.0,4153929.0,2556275.0,2252420.0,3486659.0,2808778.0,4588735.0,4534868.0,2648878.0,4372470.0,2910357.0,2094711.0,2718543.0
3.04,Despesas/Receitas Operacionais,-559565.0,-1054749.0,-1779333.0,-792301.0,-1365953.0,-1553765.0,-966534.0,-2652147.0,-1940464.0,-476506.0,-2707846.0,-1976175.0,137425.0,-2590791.0,-2733293.0,-1907180.0,-2764478.0
3.04.02,Despesas Gerais e Administrativas,-146398.0,-292088.0,-451934.0,-236272.0,-498185.0,-551146.0,-558758.0,-566285.0,-609951.0,-696142.0,-730449.0,-525877.0,-731106.0,-649206.0,-689188.0,-652769.0,-529559.0
3.04.05,Outras Despesas Operacionais,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-615204.0,0.0,0.0,-254603.0,0.0,0.0,0.0,-253447.0,0.0,-683558.0
3.04.05.02,Depreciação e amortização,,,,,,,,,,,,,,,,,
3.04.06,Resultado de Equivalência Patrimonial,519.0,477.0,-1385.0,-6981.0,-17091.0,-16066.0,-37628.0,-39225.0,-19417.0,-79137.0,-62608.0,-44338.0,-39195.0,-90591.0,-39492.0,-60311.0,-63095.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,-422759.0,331548.0,1011599.0,1554122.0,1268290.0,2600164.0,1589741.0,-399727.0,1546195.0,2332272.0,1880889.0,2558693.0,2786303.0,1781679.0,177064.0,187531.0,-45935.0
3.06,Resultado Financeiro,-60954.0,-132049.0,-197658.0,-174644.0,-560759.0,-587472.0,-938510.0,-1072694.0,-1448137.0,-1375761.0,-1706017.0,-1517628.0,-1482052.0,-1685533.0,-2390591.0,-2180742.0,-2717840.0
3.06.01,Receitas Financeiras,689536.0,1157825.0,543434.0,1359929.0,897180.0,441267.0,598710.0,262069.0,-76453.0,980905.0,184928.0,736505.0,1462759.0,716850.0,1209441.0,2326021.0,1439875.0
3.06.02,Despesas Financeiras,-750490.0,-1289874.0,-741092.0,-1534573.0,-1457939.0,-1028739.0,-1537220.0,-1334763.0,-1371684.0,-2356666.0,-1890945.0,-2254133.0,-2944811.0,-2402383.0,-3600032.0,-4506763.0,-4157715.0
3.07,Resultado Antes dos Tributos sobre o Lucro,-483713.0,199499.0,813941.0,1379478.0,707531.0,2012692.0,651231.0,-1472421.0,98058.0,956511.0,174872.0,1041065.0,1304251.0,96146.0,-2213527.0,-1993211.0,-2763775.0
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,150523.0,-24292.0,-230282.0,-599161.0,23216.0,-590182.0,-45306.0,538782.0,69873.0,-285406.0,-146470.0,-247822.0,-238305.0,-254494.0,-357064.0,149325.0,451705.0
3.09,Resultado Líquido das Operações Continuadas,-333190.0,175207.0,583659.0,780317.0,730747.0,1422510.0,605925.0,-933639.0,167931.0,671105.0,28402.0,793243.0,1065946.0,-158348.0,-2570591.0,-1843886.0,-2312070.0
3.10,Resultado Líquido de Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro/Prejuízo Consolidado do Período,-333190.0,175207.0,583659.0,780317.0,730747.0,1422510.0,605925.0,-933639.0,167931.0,671105.0,28402.0,793243.0,1065946.0,-158348.0,-2570591.0,-1843886.0,-2312070.0
3.11.01,Atribuído a Sócios da Empresa Controladora,-332851.0,156322.0,555117.0,800548.0,712673.0,1385381.0,551899.0,-880121.0,174179.0,637750.0,-19026.0,779203.0,1050454.0,-181581.0,-2590476.0,-1846241.0,-2321070.0
3.11.02,Atribuído a Sócios Não Controladores,-339.0,18885.0,28542.0,-20231.0,18074.0,37129.0,54026.0,-53518.0,-6248.0,33355.0,47428.0,14040.0,15492.0,23233.0,19885.0,2355.0,9000.0
3.99,Lucro por Ação (Reais/Ação),-0.2,0.09,0.33,0.2,0.07,0.13,0.05,-0.09,0.02,0.06181,-0.00184,0.07546,0.10173,-0.01757,0.25067,0.17865,-0.22445
