codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,LTM
P_L,P/L,Valuation,x,-7.3658,-664.6734,12.1423,6.2057,61.3383,-590.8271,61.4711,24.2009,-5.9502,-1.9125,-0.3835
P_VPA,P/VPA,Valuation,x,1.2956,0.899,1.9302,3.3592,13.3794,15.4361,10.7656,3.7892,2.6802,0.5324,0.1068
EV_EBITDA,EV/EBITDA,Valuation,x,-82.2003,21.9108,14.3281,8.5051,68.6407,178.1457,55.5323,37.0014,-13.4659,-3.8853,-3.073
EV_EBIT,EV/EBIT,Valuation,x,-27.5573,72.8975,18.8362,10.1019,117.225,341.5513,68.8848,53.7181,-11.3241,-3.1443,-2.487
EV_RECEITA,EV/Receita,Valuation,x,1.3294,0.9595,1.6365,2.7769,8.8042,9.7688,5.7301,3.2005,7.6628,4.2684,3.3761
DY,Dividend Yield,Valuation,%,0.0396,,0.1313,4.9608,0.1843,0.0155,,0.0672,,,
PAYOUT,Payout,Valuation,%,0.6113,,3.3379,64.4437,67.0232,18.0435,,12.8214,,,
ROE,ROE,Rentabilidade,%,8.4019,1.2683,7.8202,26.5756,3.748,1.314,9.2157,2.007,35.8278,67.3562,67.3562
ROA,ROA,Rentabilidade,%,4.9738,0.7351,4.1989,12.5581,1.7285,0.6021,4.1036,0.9538,15.1887,19.6288,19.6288
ROIC,ROIC,Rentabilidade,%,-2.865,0.8468,5.4468,14.1786,4.6218,1.6743,7.1067,3.6342,-11.1041,-17.0693,-17.0693
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,-1.6173,4.3791,11.4215,32.65,12.8265,5.4836,10.3184,8.6497,-56.9054,-109.8616,-109.8616
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,6.1993,0.8385,4.7651,16.4118,2.2977,0.7934,4.512,1.5088,94.5701,184.6911,184.6911
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-23.0941,8.4235,3.7231,1.9753,3.4924,9.6445,2.567,3.7281,-3.2602,-2.8693,-2.8693
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.5062,0.5615,0.6777,1.0162,0.7172,0.8835,0.5218,0.4246,0.8562,1.5034,1.5034
ICJ,ICJ,Endividamento,x,-0.7452,0.3399,1.4117,3.9564,1.0188,0.4015,1.1267,0.3909,-1.1057,-1.5854,-1.5854
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,85.0354,81.9145,70.599,60.6438,59.0369,72.1395,70.383,77.26,83.1208,84.5688,84.5688
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.5621,1.3204,1.1593,1.2332,1.3597,1.0132,1.0756,0.7839,0.4924,0.3314,0.3314
LIQ_SECA,Liquidez Seca,Liquidez,x,0.8022,0.8504,0.6787,0.7037,0.7597,0.632,0.6753,0.5731,0.2997,0.0983,0.0983
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.5587,1.5324,1.4873,1.296,1.3948,1.2797,1.4202,1.3866,1.0926,0.828,0.828
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.8023,0.8638,0.8143,0.695,0.7722,0.7285,0.8947,0.6554,0.1613,0.1049,0.1049
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,204.6687,163.2841,154.8478,202.2552,164.2182,139.3907,83.8983,49.2823,142.6796,48.8847,48.8847
PME,PME,Eficiência,dias,132.4934,80.8758,96.8495,127.478,114.9365,90.3812,72.6849,45.6971,142.8547,237.0133,237.0133
NCG_RECEITA,NCG/Receita,Eficiência,%,54.9034,42.4363,35.9347,50.6772,40.5648,38.1302,20.1103,11.5527,13.3479,-49.4989,-49.4989
