cd_conta,ds_conta,2015T1,2015T2,2015T3,2015T4,2016T1,2016T2,2016T3,2016T4,2017T1,2017T2,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3
3.01,Receita de Venda de Bens e/ou Serviços,96559.0,92386.0,80622.0,70006.0,87757.0,90467.0,99184.0,99199.0,93399.0,110063.0,115961.0,99120.0,102095.0,103580.0,121744.0,109999.0,114813.0,119147.0,120406.0,107147.0,123410.0,86067.0,133632.0,130156.0,148056.0,159175.0,168043.0,125497.0,148902.0,98720.0,111537.0,50761.0,2822.0,1660.0,52517.0,43039.0,1153.0,3943.0,19917.0
3.02,Custo dos Bens e/ou Serviços Vendidos,-79753.0,-79243.0,-73023.0,-60984.0,-76745.0,-78784.0,-83103.0,-76429.0,-76134.0,-87390.0,-88016.0,-74807.0,-75607.0,-78415.0,-92880.0,-89060.0,-94104.0,-92384.0,-92929.0,-85527.0,-97580.0,-73511.0,-111961.0,-116611.0,-123965.0,-137189.0,-135982.0,-108752.0,-130626.0,-92557.0,-103561.0,-47388.0,-19278.0,-17048.0,-48176.0,-45885.0,-21170.0,-20620.0,-25907.0
3.03,Resultado Bruto,16806.0,13143.0,7599.0,9022.0,11012.0,11683.0,16081.0,22770.0,17265.0,22673.0,27945.0,24313.0,26488.0,25165.0,28864.0,20939.0,20709.0,26763.0,27477.0,21620.0,25830.0,12556.0,21671.0,13545.0,24091.0,21986.0,32061.0,16745.0,18276.0,6163.0,7976.0,3373.0,16456.0,15388.0,4341.0,-5836.0,22323.0,16677.0,5990.0
3.04,Despesas/Receitas Operacionais,-14530.0,-15458.0,-14575.0,-18389.0,-12066.0,-13339.0,-14619.0,-16565.0,-12651.0,-13964.0,-13821.0,-15397.0,-14639.0,-14971.0,-15827.0,-26651.0,-16753.0,-15698.0,-16525.0,-12931.0,-17359.0,-15535.0,-15943.0,-11229.0,-11188.0,-5378.0,-17421.0,-10922.0,-15324.0,-14542.0,-15771.0,-34272.0,-7424.0,-8617.0,-10864.0,-10440.0,-13383.0,-8775.0,-11947.0
3.04.02,Despesas Gerais e Administrativas,-5315.0,-5793.0,-4759.0,-5587.0,-4902.0,-4801.0,-4618.0,-4629.0,-5091.0,-5037.0,-4942.0,-5090.0,-5263.0,-5642.0,-5065.0,-5054.0,-5160.0,-5528.0,-5101.0,-5277.0,-5430.0,-5192.0,-4595.0,-5151.0,-5223.0,-5579.0,-4945.0,-5011.0,-5033.0,-5706.0,-5206.0,-4995.0,-4045.0,-4795.0,-6596.0,-5156.0,-4036.0,-4680.0,-4642.0
3.04.05,Outras Despesas Operacionais,-318.0,-150.0,-2115.0,-5800.0,-422.0,-676.0,-1882.0,-2600.0,-582.0,-653.0,-297.0,-757.0,-2352.0,-499.0,-1010.0,-2534.0,-2918.0,-866.0,-1756.0,-2456.0,-2589.0,-2783.0,-2087.0,-4908.0,-4282.0,-21601.0,-440.0,-8046.0,-615.0,-1065.0,-1113.0,-40734.0,-1142.0,-2455.0,-921.0,-1197.0,-7705.0,-3067.0,-6162.0
3.04.05.02,Depreciação e amortização,183.0,415.0,-1410.0,-5073.0,219.0,-66.0,-1230.0,-1859.0,38.0,30.0,640.0,35.0,-1553.0,307.0,19.0,-1574.0,-2115.0,48.0,-781.0,3463.0,-1773.0,-2049.0,-1279.0,5921.0,5126.0,22404.0,363.0,-5880.0,239.0,-209.0,-286.0,1434.0,-380.0,-1669.0,-194.0,-1260.0,-6764.0,-2610.0,-5780.0
3.04.06,Resultado de Equivalência Patrimonial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,2276.0,-2315.0,-6976.0,-9367.0,-1054.0,-1656.0,1462.0,6205.0,4614.0,8709.0,14124.0,8916.0,11849.0,10194.0,13037.0,85162.0,3956.0,11065.0,10952.0,8689.0,8471.0,-2979.0,5728.0,2316.0,12903.0,27364.0,14640.0,-4933.0,2952.0,-8379.0,-7795.0,37645.0,-23880.0,-24005.0,-6523.0,-13286.0,-35706.0,-25452.0,-17937.0
3.06,Resultado Financeiro,-3212.0,-3359.0,-4876.0,-6465.0,-328.0,-2599.0,-4098.0,-3173.0,-2790.0,-5076.0,-3044.0,-4247.0,-1746.0,-2899.0,-5930.0,-7237.0,-7950.0,-4052.0,-5755.0,-7519.0,-5783.0,-6840.0,-5151.0,-5478.0,-8941.0,-4779.0,-5306.0,-9605.0,-8392.0,-10259.0,-6808.0,-9024.0,-6518.0,-3703.0,-16236.0,-435.0,-2916.0,-21964.0,-7956.0
