cd_conta,ds_conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receitas de Intermediação Financeira,2637300.0,2838609.0,3319634.0,3019258.0,3549960.0,4263172.0,3580256.0,3914618.0,3492501.0,2933451.0,4040116.0,2616469.0,3861774.0,4165301.0,4366707.0
3.02,Despesas de Intermediação Financeira,-1163683.0,-1394978.0,-1444678.0,-1597213.0,-1689212.0,-2087122.0,-1855214.0,-1715099.0,-1904054.0,-1899890.0,-2192067.0,-2177367.0,-1664135.0,-2755374.0,-3175286.0
3.03,Resultado Bruto de Intermediação Financeira,1473617.0,1443631.0,1874956.0,1422045.0,1860748.0,2176050.0,1725042.0,2199519.0,1588447.0,1033561.0,1848049.0,439102.0,2197639.0,1409927.0,1191421.0
3.04,Outras Despesas e Receitas Operacionais,-1158435.0,-1319072.0,-1730737.0,-1201576.0,-1686771.0,-2037960.0,-1553828.0,-2022553.0,-1432283.0,-852681.0,-1644819.0,-636745.0,-2230782.0,-1338154.0,-1003898.0
3.05,Resultado antes dos Tributos sobre o Lucro,315182.0,124559.0,144219.0,220469.0,173977.0,138090.0,171214.0,176966.0,156164.0,180880.0,203230.0,-197643.0,-33143.0,71773.0,187523.0
3.06,Imposto de Renda e Contribuição Social sobre o Lucro,-87620.0,-1749.0,-5109.0,-41668.0,-17407.0,-5467.0,-16364.0,-29333.0,-3353.0,-24026.0,-32774.0,245751.0,93069.0,50326.0,-30192.0
3.07,Lucro ou Prejuízo das Operações Continuadas,227562.0,122810.0,139110.0,178801.0,156570.0,132623.0,154850.0,147633.0,152811.0,156854.0,170456.0,48108.0,59926.0,122099.0,157331.0
3.08,Resultado Líquido das Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.09,Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias,227562.0,122810.0,139110.0,178801.0,156570.0,132623.0,154850.0,147633.0,152811.0,156854.0,170456.0,48108.0,59926.0,122099.0,157331.0
3.10,Participações nos Lucros e Contribuições Estatutárias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro ou Prejuízo Líquido Consolidado do Período,227562.0,122810.0,139110.0,178801.0,156570.0,132623.0,154850.0,147633.0,152811.0,156854.0,170456.0,48108.0,59926.0,122099.0,157331.0
3.99,Lucro por Ação (Reais/Ação),0.19,0.09401127,0.10648895,0.34,0.12,0.10416516,0.12162275,0.34,0.12,0.12359759,0.13431567,0.3,0.05,0.09621139,0.12397345
