codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,0.0746,4.7333,-40.3223,24.7506,-5.8436,-6.7711
P_VPA,P/VPA,Valuation,x,,0.7566,1.0357,0.6317,0.7571,0.8773
EV_EBITDA,EV/EBITDA,Valuation,x,,6.5045,9.3198,15.1169,8.1276,8.5665
EV_EBIT,EV/EBIT,Valuation,x,,10.1959,14.8896,22.5762,23.8753,25.1644
EV_RECEITA,EV/Receita,Valuation,x,,2.5714,2.5866,3.618,2.4072,2.5372
DY,Dividend Yield,Valuation,%,,0.8666,23.4192,4.3722,0.555,0.479
PAYOUT,Payout,Valuation,%,,3.7333,944.3198,147.1297,8.421,8.421
ROE,ROE,Rentabilidade,%,3.4449,22.0466,2.3003,2.0249,5.1766,5.1766
ROA,ROA,Rentabilidade,%,1.5931,10.3331,1.0369,0.6651,1.6853,1.6853
ROIC,ROIC,Rentabilidade,%,7.4242,5.1301,4.5583,2.4713,2.4924,2.4924
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,51.8232,39.5333,27.754,23.9335,29.6177,29.6177
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,11.8762,48.5634,5.139,3.3731,5.3973,5.3973
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,2.2375,1.2122,1.8535,10.3742,5.3627,5.3627
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.3364,0.1733,0.2571,1.3817,1.4685,1.4685
ICJ,ICJ,Endividamento,x,1.7729,,4.5121,1.6967,0.5235,0.5235
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,4.4692,4.7413,13.3654,9.9562,8.986,8.986
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.4682,1.4929,1.542,1.5581,1.3006,1.3006
LIQ_SECA,Liquidez Seca,Liquidez,x,1.4682,1.4929,1.542,1.5581,1.3006,1.3006
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.7808,1.0037,0.7557,0.4391,0.3891,0.3891
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.1341,0.1709,0.2132,0.1528,0.2568,0.2568
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,-20.9685,-4.8744,-2.9218,-4.198,-2.6426,-2.6426
PME,PME,Eficiência,dias,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,-27.1612,-16.0141,-4.7464,-6.2549,-6.3085,-6.3085
