codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,11540000.0,11540000.0,11540000.0,12810000.0,9148792.15,10787381.79,12121361.82
P_L,P/L,Valuation,x,68.2146,37.0292,4.3082,-40.3225,33.6515,-8.5872,-9.6491
P_VPA,P/VPA,Valuation,x,1.3982,1.2756,0.7566,1.0357,0.6317,0.7953,0.8936
EV_EBITDA,EV/EBITDA,Valuation,x,13.9861,7.1678,7.1954,9.3198,15.1169,8.2669,8.6261
EV_EBIT,EV/EBIT,Valuation,x,13.9861,10.7189,10.1959,14.8896,22.5762,24.2845,25.3395
EV_RECEITA,EV/Receita,Valuation,x,6.1532,5.5549,2.5714,2.5866,3.618,2.4485,2.5548
DY,Dividend Yield,Valuation,%,0.4942,0.4942,0.4942,0.4452,0.6548,0.5553,0.4942
PAYOUT,Payout,Valuation,%,33.713,18.3006,2.1292,-17.9525,22.035,-4.7688,-4.7688
ROE,ROE,Rentabilidade,%,2.0497,3.6028,22.0466,-2.3003,2.0249,-9.6072,-9.6072
ROA,ROA,Rentabilidade,%,0.9248,1.6465,10.3331,-1.0369,0.6651,-3.1278,-3.1278
ROIC,ROIC,Rentabilidade,%,6.1408,7.428,5.1301,4.5583,2.4713,2.4924,2.4924
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,43.9951,77.4978,35.7372,27.754,23.9335,29.6177,29.6177
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,7.3339,11.8762,48.5634,-5.139,3.3731,-10.0168,-10.0168
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,2.6148,1.4932,1.3409,1.8535,10.3742,5.3627,5.3627
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.3215,0.3357,0.1733,0.2571,1.3817,1.4685,1.4685
ICJ,ICJ,Endividamento,x,1.4223,1.5774,1.1822,0.9074,0.875,0.3638,0.3638
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,3.4812,4.4692,4.7413,13.3654,9.9562,8.986,8.986
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.2211,1.4682,1.4929,1.542,1.5575,1.3006,1.3006
LIQ_SECA,Liquidez Seca,Liquidez,x,1.2211,1.4682,1.4929,1.542,1.5575,1.3006,1.3006
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.766,0.7808,1.0037,0.7557,0.4391,0.3891,0.3891
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.1261,0.1341,0.1709,0.2132,0.1528,0.2568,0.2568
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,23.0922,-20.9685,-4.8744,-2.9218,-4.3993,-2.6426,-2.6426
PME,PME,Eficiência,dias,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,-29.2524,-27.3957,-16.0141,-4.7464,-6.3108,-6.3085,-6.3085
