codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,20.9416,21.2485,3.6977,-8.2225,-9.5373
P_VPA,P/VPA,Valuation,x,4.2511,1.509,1.7109,0.8112,1.1372,1.3191
EV_EBITDA,EV/EBITDA,Valuation,x,,7.9307,7.4904,-8.5769,4.8478,5.3941
EV_EBIT,EV/EBIT,Valuation,x,,10.0447,9.294,-5.7922,7.8705,8.7574
EV_RECEITA,EV/Receita,Valuation,x,,1.9251,1.7996,0.8739,1.1471,1.2763
DY,Dividend Yield,Valuation,%,,1.3393,0.8191,2.391,1.6869,1.4544
PAYOUT,Payout,Valuation,%,,28.0467,17.4048,8.841,-15.3647,-15.3647
ROE,ROE,Rentabilidade,%,,7.5867,8.172,20.0519,-12.4501,-12.4501
ROA,ROA,Rentabilidade,%,,3.2991,2.7957,6.8102,-4.2289,-4.2289
ROIC,ROIC,Rentabilidade,%,,8.8235,10.3936,-9.9665,9.1653,9.1653
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,24.2735,24.0261,-10.1889,23.6617,23.6617
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,6.9585,6.4565,14.5509,-8.8751,-8.8751
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,1.9274,1.7803,-3.2962,1.4315,1.4315
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.7151,0.4845,0.5334,0.5064,0.4765,0.4765
ICJ,ICJ,Endividamento,x,,1.3934,1.5445,-1.3307,1.054,1.054
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,25.523,4.4027,4.1602,5.3339,6.4669,6.4669
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,6.0909,2.6163,2.5911,3.1614,2.9214,2.9214
LIQ_SECA,Liquidez Seca,Liquidez,x,5.9943,2.4713,2.461,3.0549,2.8013,2.8013
LIQ_GERAL,Liquidez Geral,Liquidez,x,2.4058,0.7365,0.7418,0.962,0.9778,0.9778
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.3574,0.423,0.5128,0.4772,0.4772
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,100.7665,110.5486,88.1334,108.0325,108.0325
PME,PME,Eficiência,dias,,20.3018,15.408,11.5163,15.513,15.513
NCG_RECEITA,NCG/Receita,Eficiência,%,,22.1986,23.1146,18.4573,20.8731,20.8731
