cd_conta,conta,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
2,Passivo Total,2504341.0,4090778.0,4485932.0,4628627.0,4823278.0,4933164.0,5013821.0,5083102.0,5172372.0,5171451.0,5262841.0,4928878.0,4413599.0,4340852.0,4377367.0,4338669.0,4400937.0
2.01,Passivo Circulante,281219.0,346483.0,447776.0,403519.0,439384.0,443433.0,477789.0,437828.0,488463.0,485575.0,548839.0,849186.0,437579.0,467424.0,514518.0,485010.0,534992.0
2.01.01,Obrigações Sociais e Trabalhistas,31221.0,37204.0,51283.0,63596.0,79917.0,70504.0,78227.0,92326.0,108397.0,74904.0,80054.0,78274.0,82570.0,57295.0,67562.0,79486.0,90076.0
2.01.02,Fornecedores,61226.0,89206.0,112772.0,108681.0,126153.0,139178.0,119297.0,122696.0,128333.0,148701.0,160561.0,127543.0,116705.0,131914.0,137031.0,127990.0,143809.0
2.01.03,Obrigações Fiscais,65594.0,8820.0,14064.0,14187.0,28359.0,27316.0,26157.0,28321.0,39986.0,37288.0,37836.0,16865.0,18890.0,23818.0,27702.0,31713.0,39939.0
2.01.04,Empréstimos e Financiamentos,65913.0,64047.0,86698.0,69062.0,63477.0,52973.0,90479.0,56810.0,77414.0,52205.0,97921.0,75837.0,99719.0,75897.0,100691.0,76731.0,89945.0
2.01.05,Outras Obrigações,57265.0,147206.0,182959.0,147993.0,141478.0,153462.0,163629.0,137675.0,134333.0,172477.0,172467.0,115318.0,119695.0,178500.0,181532.0,169090.0,171223.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435349.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,691497.0,2061130.0,2326988.0,2491228.0,2670189.0,2787109.0,2810158.0,2903912.0,2920703.0,2931652.0,2928194.0,2499285.0,2474679.0,2397003.0,2377832.0,2372627.0,2373263.0
2.02.01,Empréstimos e Financiamentos,192336.0,1047261.0,1102437.0,1098007.0,1158679.0,1150207.0,1142639.0,1213206.0,1210208.0,1202660.0,1170357.0,1364845.0,1356412.0,1347024.0,1329427.0,1311259.0,1300903.0
2.02.02,Outras Obrigações,385062.0,821398.0,1023688.0,1185388.0,1284989.0,1297444.0,1320973.0,1345880.0,1361673.0,1373860.0,1392595.0,860445.0,935043.0,864807.0,863718.0,872903.0,881422.0
2.02.03,Tributos Diferidos,0.0,0.0,0.0,0.0,8094.0,84867.0,84841.0,82539.0,84666.0,99715.0,105850.0,78411.0,78093.0,77960.0,77548.0,77394.0,77019.0
2.02.04,Provisões,114099.0,192471.0,200863.0,207833.0,218427.0,254591.0,261705.0,262287.0,264156.0,255417.0,259392.0,195584.0,105131.0,107212.0,107139.0,111071.0,113919.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.06,Lucros e Receitas a Apropriar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03,Patrimônio Líquido Consolidado,1531625.0,1683165.0,1711168.0,1733880.0,1713705.0,1702622.0,1725874.0,1741362.0,1763206.0,1754224.0,1785808.0,1580407.0,1501341.0,1476425.0,1485017.0,1481032.0,1492682.0
2.03.01,Capital Social Realizado,1273477.0,1301019.0,1301019.0,1301019.0,1301019.0,1301019.0,1301019.0,1301019.0,1301019.0,1301019.0,1301019.0,1301019.0,1301019.0,1301019.0,1301019.0,1301019.0,1301019.0
2.03.02,Reservas de Capital,5612.0,378944.0,381830.0,384748.0,387698.0,388686.0,391572.0,368280.0,371230.0,374180.0,377098.0,365124.0,213348.0,169733.0,159050.0,150903.0,137663.0
2.03.03,Reservas de Reavaliação,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.04,Reservas de Lucros,252536.0,239725.0,239725.0,239725.0,239725.0,306120.0,306120.0,306120.0,306120.0,397054.0,397054.0,396492.0,396325.0,57875.0,57875.0,41538.0,41537.0
2.03.05,Lucros/Prejuízos Acumulados,0.0,0.0,26585.0,55806.0,89531.0,0.0,27213.0,65305.0,93853.0,0.0,42183.0,-422086.0,-346720.0,0.0,19931.0,36000.0,62865.0
2.03.06,Ajustes de Avaliação Patrimonial,0.0,-279962.0,-291524.0,-305802.0,-378789.0,-378334.0,-388393.0,-393373.0,-409954.0,-417112.0,-435645.0,-88572.0,-90705.0,-80192.0,-83235.0,-77667.0,-80269.0
2.03.07,Ajustes Acumulados de Conversão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.08,Outros Resultados Abrangentes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.03.09,Participação dos Acionistas Não Controladores,0.0,43439.0,53533.0,58384.0,74521.0,85131.0,88343.0,94011.0,100938.0,99083.0,104099.0,28430.0,28074.0,27990.0,30377.0,29239.0,29867.0
