codigo,nome,categoria,unidade,2015,2016,2017,2018,2019,2020,2021,2022,2023,LTM
P_L,P/L,Valuation,x,,2.9739,5.3706,4.6753,7.8225,2.3573,-168.2584,5.0123,4.3787,9.4318
P_VPA,P/VPA,Valuation,x,0.2199,0.202,0.2578,0.2439,0.4143,0.3138,0.2587,0.2171,,
EV_EBITDA,EV/EBITDA,Valuation,x,,1.1872,1.5278,1.3255,1.303,0.3502,3.2744,1.5368,0.655,1.411
EV_EBIT,EV/EBIT,Valuation,x,,1.6011,2.3928,1.902,1.9234,0.4053,7.7703,2.4268,1.0079,2.1712
EV_RECEITA,EV/Receita,Valuation,x,,0.7748,0.6519,0.7065,0.646,0.389,1.1893,0.8505,0.3582,0.7716
DY,Dividend Yield,Valuation,%,128.3913,67.2049,56.1478,40.5612,39.7359,19.7933,37.4987,20.7475,38.3434,17.8007
PAYOUT,Payout,Valuation,%,,66.6208,100.516,63.2124,103.6113,16.9196,2103.2152,34.6647,55.9642,55.9642
ROE,ROE,Rentabilidade,%,,19.2341,14.0742,15.3742,15.466,40.5406,0.4608,12.8715,36.5051,36.5051
ROA,ROA,Rentabilidade,%,,8.5325,5.4818,5.6997,5.5481,13.854,0.1817,6.3324,18.3816,18.3816
ROIC,ROIC,Rentabilidade,%,,17.4018,11.8542,14.9105,17.0116,48.9994,4.5112,12.0441,,
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,65.2667,42.671,53.2987,49.5794,111.0688,36.3205,55.3424,54.6874,54.6874
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,27.0785,16.7806,19.4039,17.8223,48.3655,0.6534,17.7609,24.5438,24.5438
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,0.7759,0.8237,0.7581,0.3657,-0.022,2.2654,1.0006,0.0,0.0
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.552,0.381,0.3016,0.3259,0.1616,-0.0185,0.5809,0.4052,,
ICJ,ICJ,Endividamento,x,,4.3767,5.1247,3.3581,3.5489,3.586,0.8711,3.1099,13.0206,13.0206
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,13.5422,33.7497,24.2102,14.6787,25.8917,35.0732,29.4805,27.7644,,
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,0.9947,0.7612,0.7307,0.8578,0.7501,0.6675,0.4166,0.424,,
LIQ_SECA,Liquidez Seca,Liquidez,x,0.9947,0.7612,0.7307,0.8578,0.7501,0.6675,0.4166,0.424,,
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.255,0.4083,0.4738,0.5163,0.5521,0.5701,0.3057,0.3555,,
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.3038,0.3223,0.295,0.3134,0.2537,0.3397,0.3684,,
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,-164.8726,-208.8372,-345.0082,-407.6667,-17064.1508,-124.3845,-160.1559,0.0,0.0
PME,PME,Eficiência,dias,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,,-49.1624,-71.9263,-73.5059,-86.5953,-118.4413,-28.4566,-39.0449,0.0,0.0
