cd_conta,ds_conta,2017T3,2017T4,2018T1,2018T2,2018T3,2018T4,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2
3.01,Receita de Venda de Bens e/ou Serviços,39544.000,37758.704,35973.408,37537.826,44002.000,76489.766,40552.094,57436.283,92605.000,90432.623,61193.000,44282.000,68919.000,49572.000,104125.000,120761.000,135443.000,79403.000,118957.000,155011.000,135765.000,51835.000,119859.000,132011.000,107508.000,126607.000,97591.000,83400.000,49605.000,231507.000,120097.000,136854.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-22424.000,-21708.984,-20993.969,-20866.345,-27718.000,-55100.686,-22059.722,-36813.230,-57149.000,-69422.048,-44668.000,-46218.000,-46753.000,-54923.000,-75433.000,-97676.000,-96458.000,-75751.000,-85930.000,-115744.000,-104547.000,-46360.000,-84017.000,-93836.000,-75661.000,-72645.000,-67669.000,-57170.000,-76607.000,-122123.000,-83993.000,-94702.000
3.03,Resultado Bruto,17120.000,16049.719,14979.439,16671.481,16284.000,21389.080,18492.372,20623.053,35456.000,21010.575,16525.000,-1936.000,22166.000,-5351.000,28692.000,23085.000,38985.000,3652.000,33027.000,39267.000,31218.000,5475.000,35842.000,38175.000,31847.000,53962.000,29922.000,26230.000,-27002.000,109384.000,36104.000,42152.000
3.04,Despesas/Receitas Operacionais,-4784.000,-5129.800,-5475.601,-6537.174,-4738.000,-77.225,-10050.096,-14985.979,-10413.000,-9456.925,-12289.000,-12683.000,-14586.000,-17321.000,-19480.000,-16715.000,-18773.000,-5577.000,932.000,-18599.000,-19235.000,2885.000,-22731.000,-20395.000,-21307.000,-24606.000,-18152.000,-18235.000,-9946.000,-16202.000,-19889.000,-17006.000
3.04.02,Despesas Gerais e Administrativas,-2194.000,-2510.111,-2826.222,-4708.018,-2163.000,3035.240,-5480.003,-6145.239,-5243.000,-6419.758,-7219.000,-8748.000,-7761.000,-9125.000,-6020.000,-5130.000,-7102.000,-5107.000,-3678.000,-5576.000,-4846.000,-15774.000,-8114.000,-7890.000,-8327.000,-8623.000,-11163.000,-9209.000,-8938.000,-6865.000,-8930.000,-9437.000
3.04.05,Outras Despesas Operacionais,-66.000,-442.040,-818.080,-413.852,-111.000,345.932,-848.117,-3714.722,-702.000,3132.839,-209.000,-878.000,-2526.000,-2574.000,-4075.000,-897.000,-197.000,5169.000,-249.000,-498.000,-1319.000,2066.000,-2894.000,-358.000,-1671.000,-22997.000,-1947.000,-2818.000,8727.000,-8449.000,-1655.000,1790.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,12336.000,10919.919,9503.838,10134.307,11546.000,21311.855,8442.276,5637.074,25043.000,11553.650,4236.000,-14619.000,7580.000,-22672.000,9212.000,6370.000,20212.000,-1925.000,33959.000,20668.000,11983.000,8360.000,13111.000,17780.000,10540.000,29356.000,11770.000,7995.000,-36948.000,93182.000,16215.000,25146.000
3.06,Resultado Financeiro,-863.000,-1003.213,-1143.427,-2109.447,-1292.000,4547.874,-1603.707,-1157.824,-2361.000,6487.531,389.000,-966.000,-2440.000,-6891.000,-2526.000,-2893.000,-2892.000,-1162.000,-1100.000,-5957.000,-1833.000,6201.000,-379.000,-4160.000,-293.000,-17277.000,-1685.000,2366.000,-7118.000,-10873.000,-297.000,-7469.000
3.06.01,Receitas Financeiras,305.000,278.095,251.190,566.868,867.000,10639.942,1284.344,2210.137,1081.000,10174.519,3692.000,2160.000,605.000,-3839.000,1298.000,1835.000,1867.000,4770.000,1893.000,2450.000,3087.000,9531.000,3128.000,148.000,5254.000,-1038.000,4515.000,7513.000,1075.000,645.000,5842.000,17636.000
3.06.02,Despesas Financeiras,-1168.000,-1281.309,-1394.617,-2676.315,-2159.000,-6092.068,-2888.051,-3367.961,-3442.000,-3686.988,-3303.000,-3126.000,-3045.000,-3052.000,-3824.000,-4728.000,-4759.000,-5932.000,-2993.000,-8407.000,-4920.000,-3330.000,-3507.000,-4308.000,-5547.000,-16239.000,-6200.000,-5147.000,-8193.000,-11518.000,-6139.000,-25105.000
3.07,Resultado Antes dos Tributos sobre o Lucro,11473.000,9916.706,8360.411,8024.860,10254.000,25859.729,6838.569,4479.250,22682.000,18041.181,4625.000,-15585.000,5140.000,-29563.000,6686.000,3477.000,17320.000,-3087.000,32859.000,14711.000,10150.000,14561.000,12732.000,13620.000,10247.000,12079.000,10085.000,10361.000,-44066.000,82309.000,15918.000,17677.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,0.000,0.000,0.000,0.000,-825.000,-4370.000,0.000,0.000,-1803.000,-3671.000,-1305.000,-905.000,-1507.000,-935.000,-1916.000,-2382.000,-2511.000,-2203.000,-2377.000,-2815.000,-2528.000,-771.000,-1963.000,-2179.000,-2065.000,3530.000,-1761.000,5905.000,835.000,-5188.000,-2526.000,-1541.000
3.09,Resultado Líquido das Operações Continuadas,11473.000,9916.706,8360.411,8024.860,9429.000,21489.729,6838.569,4479.250,20879.000,14370.181,3320.000,-16490.000,3633.000,-30498.000,4770.000,1095.000,14809.000,-5290.000,30482.000,11896.000,7622.000,13790.000,10769.000,11441.000,8182.000,15609.000,8324.000,16266.000,-43231.000,77121.000,13392.000,16136.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,11473.000,9916.706,8360.411,8024.860,9429.000,21489.729,6838.569,4479.250,20879.000,14370.181,3320.000,-16490.000,3633.000,-30498.000,4770.000,1095.000,14809.000,-5290.000,30482.000,11896.000,7622.000,13790.000,10769.000,11441.000,8182.000,15609.000,8324.000,16266.000,-43231.000,77121.000,13392.000,16136.000
3.11.01,Atribuído a Sócios da Empresa Controladora,11473.000,9916.706,8360.411,8024.860,9409.000,21507.729,6773.902,4375.550,20604.000,14781.548,3325.000,-16475.000,3613.000,-30498.000,4770.000,1095.000,14809.000,-5290.000,0.000,0.000,0.000,63790.000,0.000,0.000,0.000,46001.000,0.000,0.000,-43231.000,101711.000,0.000,0.000
3.11.02,Atribuído a Sócios Não Controladores,0.000,0.000,0.000,0.000,20.000,-18.000,64.667,103.700,275.000,-411.367,-5.000,-15.000,20.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.99,Lucro por Ação (Reais/Ação),0.930,0.465,0.165,0.000,0.470,2.110,0.330,0.000,0.410,0.409,0.070,0.190,0.040,-0.810,0.050,0.010,0.170,-0.050,0.350,0.140,0.088,0.240,0.350,0.130,0.094,0.050,0.100,0.190,0.500,-0.120,0.150,0.190
