codigo,nome,categoria,unidade,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,,,,,,,,
P_VPA,P/VPA,Valuation,x,,,,,,,,,
EV_EBITDA,EV/EBITDA,Valuation,x,,,,,,,,,
EV_EBIT,EV/EBIT,Valuation,x,,,,,,,,,
EV_RECEITA,EV/Receita,Valuation,x,,,,,,,,,
DY,Dividend Yield,Valuation,%,,,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,,,
ROE,ROE,Rentabilidade,%,,123.6872,80.2948,27.6549,66.9961,30.6448,29.9644,29.2846,29.2846
ROA,ROA,Rentabilidade,%,,8.8649,5.3542,1.9142,7.377,4.7353,5.0996,4.9843,4.9843
ROIC,ROIC,Rentabilidade,%,,20.5445,-8.926,9.8985,15.3295,10.738,9.6929,11.0051,11.0051
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,18.9289,-10.4453,8.1511,16.6823,15.4939,16.8322,18.4696,18.4696
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,16.5704,17.8755,3.4985,13.8203,9.4655,12.6552,11.7864,11.7864
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,2.087,-6.0028,4.5339,2.5412,3.4791,3.8604,3.405,3.405
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.4819,2.1439,2.9294,2.5665,1.5394,1.5133,1.3823,1.3704,1.3704
ICJ,ICJ,Endividamento,x,,3.786,-2.0338,1.7601,3.8153,2.3914,2.447,1.9153,1.9153
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,0.3362,42.4977,81.69,55.0285,60.8364,52.3246,58.244,44.8922,44.8922
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.6962,2.1765,1.2522,1.3015,0.8565,0.8843,0.6899,1.389,1.389
LIQ_SECA,Liquidez Seca,Liquidez,x,0.9716,0.868,0.4806,0.384,0.3019,0.3811,0.2151,0.5094,0.5094
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.016,1.0386,0.9429,0.8933,0.9261,1.0747,1.1106,1.1208,1.1208
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.4161,0.2731,0.5585,0.4899,0.4856,0.3575,0.3691,0.3691
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,412.9245,510.023,246.6703,191.3051,306.6027,417.3895,479.7289,479.7289
PME,PME,Eficiência,dias,,392.8912,491.0726,251.3759,217.9189,269.8949,408.0039,416.484,416.484
NCG_RECEITA,NCG/Receita,Eficiência,%,,64.7997,80.2149,33.5734,10.0627,13.763,-19.1661,60.4946,60.4946
