codigo,nome,categoria,unidade,2017,2018,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,80.8323,158.0152,690.2354,-169.6979,-185.8282,-3.367,-882.7202,4.3119,7.4914,7.4914
P_VPA,P/VPA,Valuation,x,20.8797,48.1377,211.7201,60.6549,34.9071,0.521,25.6794,0.7053,0.7528,0.7528
DY,Dividend Yield,Valuation,%,0.0637,0.0945,0.0251,0.001,,,,,,
PAYOUT,Payout,Valuation,%,5.1483,14.9343,17.2908,,,,,,,
ROE,ROE,Rentabilidade,%,25.8308,32.1499,30.4589,-37.0982,-17.3044,-16.3558,-2.9733,17.5476,10.5874,10.5874
ROA,ROA,Rentabilidade,%,6.4494,8.0492,7.2372,-7.5643,-3.0078,-2.7615,-0.644,5.0464,3.3805,3.3805
PL_ATIVOS,PL/Ativos,Estrutura,%,24.9678,25.0983,22.5421,18.7322,16.0284,17.7282,27.4911,29.9514,34.0118,34.0118
COMBINED_RATIO,Combined Ratio,Operacional,%,107.5852,106.717,106.8191,142.3547,144.7341,146.8217,112.1683,100.3885,100.4916,100.4916
SINISTRALIDADE,Sinistralidade,Operacional,%,81.2015,76.8579,89.5445,118.467,119.7399,120.4221,105.6204,87.1784,87.9382,87.9382
MARGEM_SUBSCRICAO,Margem Subscrição,Operacional,%,0.0,0.0,0.0,-36.9339,-39.4797,-40.8442,-11.2409,0.0,0.0,0.0
