codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,9243684.04,1961400.59,1409756.68,2740707.08,4191326.26,4413151.33,9153202.76,9243684.04
P_L,P/L,Valuation,x,45.2997,10.3233,4.471,7.8656,8.4569,6.3152,9.4081,9.5011
P_VPA,P/VPA,Valuation,x,25.409,3.0533,1.9094,3.1224,4.204,3.37,5.574,5.6291
EV_EBITDA,EV/EBITDA,Valuation,x,37.6709,7.5272,2.9247,5.146,6.0371,4.6818,7.1929,7.2677
EV_EBIT,EV/EBIT,Valuation,x,38.804,8.0312,3.2056,5.6638,6.5512,4.8596,7.5711,7.6498
EV_RECEITA,EV/Receita,Valuation,x,9.042,1.5788,0.6941,1.0775,1.3209,1.0145,1.7355,1.7535
DY,Dividend Yield,Valuation,%,13.4883,63.5678,88.4421,45.4926,29.7476,28.2523,13.6217,13.4883
PAYOUT,Payout,Valuation,%,611.0177,656.2271,395.4274,357.8287,251.572,178.4197,128.1544,128.1544
ROE,ROE,Rentabilidade,%,56.0908,37.7661,45.6733,43.1217,52.8728,60.5945,67.6696,67.6696
ROA,ROA,Rentabilidade,%,15.8429,12.9572,14.8638,12.9139,16.8276,18.8072,20.2915,20.2915
ROIC,ROIC,Rentabilidade,%,46.5954,30.4213,46.4245,49.785,62.1426,61.498,63.6517,63.6517
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,24.0026,20.9745,23.7317,20.9387,21.8801,21.6694,24.128,24.128
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,20.0197,16.5983,18.139,15.4362,17.1719,17.7982,19.4011,19.4011
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.1119,-0.6422,-0.4927,-0.6526,-0.6,-0.5052,-0.3721,-0.3721
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.0753,-0.24,-0.2753,-0.3514,-0.3801,-0.3282,-0.2742,-0.2742
ICJ,ICJ,Endividamento,x,8.8991,9.5823,7.5707,4.8542,5.812,5.9759,5.7525,5.7525
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,43.1041,33.1417,17.3863,25.137,20.261,21.1753,11.3907,11.3907
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.6711,2.2466,1.6559,1.9331,2.0336,2.181,1.9968,1.9968
LIQ_SECA,Liquidez Seca,Liquidez,x,1.3897,1.7976,1.2196,1.4319,1.444,1.5344,1.4337,1.4337
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.3627,1.5994,1.3334,1.3916,1.4075,1.4046,1.3911,1.3911
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.7914,0.696,0.6691,0.8066,0.9334,0.9048,0.8904,0.8904
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,265.9116,311.036,282.8637,215.244,154.4336,124.3215,114.4339,114.4339
PME,PME,Eficiência,dias,98.4205,135.8381,160.2011,135.5936,128.967,120.5588,113.9164,113.9164
NCG_RECEITA,NCG/Receita,Eficiência,%,23.725,35.9298,11.7991,14.5092,8.8932,6.8463,1.5599,1.5599
