cd_conta,ds_conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receitas de Intermediação Financeira,48490439.0,57469566.0,65638828.0,64950218.0,65909746.0,66896468.0,70840719.0,61791672.0,66655193.0,66597527.0,68547731.0,71704823.0,71720089.0,77532482.0,84767065.0
3.02,Despesas de Intermediação Financeira,-33095095.0,-39496720.0,-45792719.0,-43817950.0,-44693912.0,-44723970.0,-47635944.0,-39636048.0,-40956417.0,-41023068.0,-42433360.0,-44577982.0,-47952209.0,-53336067.0,-59444112.0
3.03,Resultado Bruto de Intermediação Financeira,15395344.0,17972846.0,19846109.0,21132268.0,21215834.0,22172498.0,23204775.0,22155624.0,25698776.0,25574459.0,26114371.0,27126841.0,23767880.0,24196415.0,25322953.0
3.04,Outras Despesas e Receitas Operacionais,-10425956.0,-6340451.0,-8810595.0,-10467848.0,-12133355.0,-10394984.0,-11903301.0,-13169900.0,-16268883.0,-14209942.0,-22338373.0,-23986660.0,-23486041.0,-22834884.0,-24393578.0
3.05,Resultado antes dos Tributos sobre o Lucro,4969388.0,11632395.0,11035514.0,10664420.0,9082479.0,11777514.0,11301474.0,8985724.0,9429893.0,11364517.0,3775998.0,3140181.0,281839.0,1361531.0,929375.0
3.06,Imposto de Renda e Contribuição Social sobre o Lucro,5276.0,-2911219.0,-2951940.0,-2594499.0,-1791497.0,-2685000.0,-2459827.0,-1045276.0,-749179.0,-1879288.0,2089369.0,2000073.0,3896015.0,2220731.0,2077368.0
3.07,Lucro ou Prejuízo das Operações Continuadas,4974664.0,8721176.0,8083574.0,8069921.0,7290982.0,9092514.0,8841647.0,7940448.0,8680714.0,9485229.0,5865367.0,5140254.0,4177854.0,3582262.0,3006743.0
3.08,Resultado Líquido das Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.09,Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias,4974664.0,8721176.0,8083574.0,8069921.0,7290982.0,9092514.0,8841647.0,7940448.0,8680714.0,9485229.0,5865367.0,5140254.0,4177854.0,3582262.0,3006743.0
3.10,Participações nos Lucros e Contribuições Estatutárias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro ou Prejuízo Líquido Consolidado do Período,4974664.0,8721176.0,8083574.0,8069921.0,7290982.0,9092514.0,8841647.0,7940448.0,8680714.0,9485229.0,5865367.0,5140254.0,4177854.0,3582262.0,3006743.0
3.99,Lucro por Ação (Reais/Ação),1.6,2.87,2.63,2.58,2.34,2.93,2.82,2.41,1.41,1.52,0.92,0.77,0.6,0.49,0.39
