codigo,nome,categoria,unidade,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,,,7.9151,7.9151
P_VPA,P/VPA,Valuation,x,,,,0.6728,0.6728
DY,Dividend Yield,Valuation,%,,,,14.8084,14.8084
PAYOUT,Payout,Valuation,%,61.7907,68.755,80.192,117.2098,117.2098
ROE,ROE,Rentabilidade,%,18.3038,19.7035,16.3058,8.5293,8.5293
ROA,ROA,Rentabilidade,%,0.7434,0.7969,0.6408,0.3196,0.3196
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,12.6187,12.4946,10.6658,5.2031,5.2031
NIM,NIM,Rentabilidade,%,4.1783,4.7755,5.1401,4.5106,4.5106
INDICE_COBERTURA,Índice de Cobertura,Qualidade Ativos,%,,,,,
INDICE_EFICIENCIA,Índice de Eficiência,Eficiência,%,48.4822,53.6363,73.4864,94.3106,94.3106
LOAN_DEPOSIT,Loan-to-Deposit,Estrutura,%,,,,,
PL_ATIVOS,PL/Ativos,Estrutura,%,4.0612,4.0293,3.8403,3.6829,3.6829
