codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,107.9487,18.2589,14.0521,12.0352,15.1057,20.7855
P_VPA,P/VPA,Valuation,x,0.7734,0.2542,0.2436,0.3446,0.3471,0.2781,0.3826
EV_EBITDA,EV/EBITDA,Valuation,x,24.0133,9.6656,2.2972,3.7997,3.2675,2.0077,2.7108
EV_EBIT,EV/EBIT,Valuation,x,85.9991,-79.393,5.0349,5.5079,4.6253,3.9735,5.3651
EV_RECEITA,EV/Receita,Valuation,x,0.5691,0.1469,0.121,0.1616,0.1354,0.1046,0.1412
DY,Dividend Yield,Valuation,%,,,,,,,
PAYOUT,Payout,Valuation,%,,,,,,,
ROE,ROE,Rentabilidade,%,0.0147,0.2364,1.3457,2.4835,2.9257,1.8478,1.8478
ROA,ROA,Rentabilidade,%,0.0085,0.1353,0.7721,1.4151,1.5287,0.9118,0.9118
ROIC,ROIC,Rentabilidade,%,0.5764,-0.1758,2.8612,3.9689,4.7535,4.8593,4.8593
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,2.3701,1.5199,5.2656,4.2538,4.1429,5.2084,5.2084
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,0.0122,0.1734,0.7656,1.2214,1.1967,0.6413,0.6413
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-3.1535,-2.6147,-0.3529,-0.2338,-0.2092,0.1376,0.1376
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.0898,-0.0541,-0.0324,-0.02,-0.0209,0.0205,0.0205
ICJ,ICJ,Endividamento,x,0.2024,-0.0872,1.144,1.6603,1.4784,1.0765,1.0765
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,64.2947,95.1644,8.1722,34.6128,27.4318,91.305,91.305
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.5205,1.1044,1.1998,1.158,1.1398,1.0644,1.0644
LIQ_SECA,Liquidez Seca,Liquidez,x,1.1053,0.7123,0.7458,0.6944,0.6092,0.6076,0.6076
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.9419,0.8314,0.8674,0.8776,0.7907,0.7586,0.7586
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.6903,0.7762,1.0085,1.1294,1.1778,1.3435,1.3435
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,24.9166,8.1297,8.7077,7.7731,10.0183,16.2393,16.2393
PME,PME,Eficiência,dias,69.8867,65.4442,55.5715,56.9231,67.3512,51.9367,51.9367
NCG_RECEITA,NCG/Receita,Eficiência,%,4.3166,-0.9216,0.9675,1.688,1.2478,2.0701,2.0701
