cd_conta_padrao,ds_conta_padrao,2015-T2,2015-T3,2015-T4,2016-T1,2016-T2,2016-T3,2016-T4,2017-T1,2017-T2,2017-T3,2017-T4,2018-T1,2018-T2,2018-T3,2018-T4,2019-T1,2019-T2,2019-T3,2019-T4,2020-T1,2020-T2,2020-T3,2020-T4,2021-T1,2021-T2,2021-T3,2021-T4,2022-T1,2022-T2,2022-T3,2022-T4,2023-T1,2023-T2,2023-T3,2023-T4,2024-T1,2024-T2,2024-T3,2024-T4,2025-T1,2025-T2,2025-T3
2,Passivo Total,3251513.0,3466183.0,3701062.0,4054522.0,3344547.0,3644445.0,3932805.0,4280835.0,3826311.0,4182877.0,4489179.0,4907417.0,4138449.0,4495343.0,4674549.0,5071904.0,5510588.0,5009204.0,5416716.0,5572127.0,6039145.0,4811997.0,9457308.0,10865035.0,10502357.0,10911013.0,10655114.0,11232995.0,11038651.0,11910014.0,11709268.0,14017541.0,13456728.0,14400965.0,14004319.0,14865194.0,13700467.0,13943235.0,14024016.0,14254621.0,14423704.0,14624520.0
2.01,Passivo Circulante,0.0,9674.0,645180.0,644453.0,14914.0,21293.0,162297.0,171148.0,26265.0,23932.0,310006.0,352908.0,27341.0,27874.0,70094.0,64728.0,37091.0,42952.0,275150.0,43962.0,54557.0,64858.0,371055.0,825455.0,64608.0,98800.0,95116.0,111651.0,123374.0,155604.0,817365.0,828658.0,132508.0,115310.0,1415172.0,1431767.0,1006783.0,870972.0,1131440.0,218307.0,1080073.0,1106037.0
2.01.01,Obrigações Sociais e Trabalhistas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.02,Fornecedores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.03,Obrigações Fiscais,0.0,9189.0,16185.0,11976.0,11766.0,16876.0,14180.0,19000.0,19192.0,18009.0,16681.0,52990.0,20130.0,20951.0,34540.0,28773.0,27891.0,28609.0,4827.0,16707.0,33969.0,50345.0,32284.0,28920.0,33980.0,51666.0,51481.0,53031.0,50261.0,57538.0,43942.0,60578.0,58552.0,59710.0,62222.0,63506.0,62711.0,69005.0,87327.0,66595.0,67011.0,78241.0
2.01.04,Empréstimos e Financiamentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1232.0,1538.0
2.01.05,Outras Obrigações,0.0,485.0,628995.0,632477.0,3148.0,4417.0,148117.0,152148.0,7073.0,5923.0,293325.0,299918.0,7211.0,6923.0,35554.0,35955.0,9200.0,14343.0,270323.0,27088.0,20588.0,14513.0,338771.0,796535.0,30628.0,47134.0,43635.0,58620.0,73113.0,98066.0,773423.0,768080.0,73956.0,55600.0,1352950.0,1368261.0,944072.0,801967.0,1044113.0,151712.0,1011830.0,1026258.0
2.01.06,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.01.07,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02,Passivo Não Circulante,0.0,0.0,0.0,0.0,0.0,0.0,323.0,323.0,323.0,323.0,543.0,543.0,543.0,543.0,757.0,756.0,757.0,756.0,775.0,776.0,776.0,776.0,846.0,847.0,904.0,903.0,1229.0,1226.0,1226.0,1226.0,2791.0,2756.0,2887.0,3266.0,3267.0,3992.0,3252.0,3252.0,3252.0,3707.0,12915.0,12814.0
2.02.01,Empréstimos e Financiamentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9209.0,9169.0
2.02.02,Outras Obrigações,0.0,0.0,0.0,0.0,0.0,0.0,323.0,323.0,323.0,323.0,543.0,543.0,543.0,543.0,757.0,756.0,757.0,756.0,775.0,776.0,776.0,776.0,846.0,847.0,904.0,903.0,1229.0,1226.0,1226.0,1226.0,2791.0,2756.0,2887.0,3266.0,3267.0,3992.0,3252.0,3252.0,3252.0,3707.0,3706.0,3645.0
2.02.03,Tributos Diferidos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.04,Provisões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.02.05,Passivos sobre Ativos Não-Correntes a Venda e Descontinuados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
