ticker;empresa;cnpj;codigo_cvm;setor;segmento
MNDL3;MUNDIAL S.A. – PRODUTOS DE CONSUMO;88.610.191/0001-54;;Tecidos, Vestuário e Calçados;Acessórios
TECN3;TECHNOS S.A.;09.295.063/0001-97;;Tecidos, Vestuário e Calçados;Acessórios
VIVA3;VIVARA PARTICIPAÇÕES S.A.;33.839.910/0001-11;;Tecidos, Vestuário e Calçados;Acessórios
JALL3;JALLES MACHADO S.A.;02.635.522/0001-95;;Alimentos Processados;Açucar e Alcool
SMTO3;SÃO MARTINHO S.A.;51.466.860/0001-56;20362;Alimentos Processados;Açucar e Alcool
AGXY3;AGROGALAXY PARTICIPAÇÕES S.A.;21.240.146/0001-84;;Agropecuária;Agricultura
SOJA3;BOA SAFRA SEMENTES S.A.;10.807.374/0001-77;;Agropecuária;Agricultura
AGRO3;BRASILAGRO – COMPANHIA BRASILEIRA DE PROPRIEDADES AGRÍCOLAS;07.628.528/0001-59;;Agropecuária;Agricultura
CTCA3;CTC – CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;06.981.381/0001-13;;Agropecuária;Agricultura
EGGY3;GRANJA FARIA S.A.;81.616.807/0001-55;;Agropecuária;Agricultura
APTI3;SIDERÚRGICA J. L. ALIPERTI S.A.;61.156.931/0001-78;;Agropecuária;Agricultura
APTI4;SIDERÚRGICA J. L. ALIPERTI S.A.;61.156.931/0001-78;;Agropecuária;Agricultura
SLCE3;SLC AGRÍCOLA S.A.;89.096.457/0001-55;;Agropecuária;Agricultura
LAND3;TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.;40.337.136/0001-06;;Agropecuária;Agricultura
TTEN3;TRÊS TENTOS AGROINDUSTRIAL S/A;94.813.102/0001-70;;Agropecuária;Agricultura
AMBP3;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S/A;12.648.266/0001-24;12648;Água e Saneamento;Água e Saneamento
CASN3;COMPANHIA CATARINENSE DE ÁGUAS E SANEAMENTO – CASAN;82.508.433/0001-17;82508;Água e Saneamento;Água e Saneamento
