ticker;empresa;cnpj;codigo_cvm;setor;segmento;sede;descricao
AGRO3;BRASILAGRO – COMPANHIA BRASILEIRA DE PROPRIEDADES AGRÍCOLAS;07.628.528/0001-59;;Agropecuária;Agricultura;Avenida Reboucas, n. 2.984, Conj, 61 e 62 6 andar, Pinheiros, SAO PAULO, SAO PAULO, 05.402-500 BR;BrasilAgro - Companhia Brasileira de Propriedades Agricolas é uma empresa brasileira. Seu core business consiste na aquisição, desenvolvimento, operação e venda de propriedades rurais adequadas para atividades agrícolas. As atividades da Companhia são realizadas por meio de um segmento operacional: Comercialização de imóveis, por meio de compra, venda ou locação, e produção e comercialização de produtos agrícolas. BrasilAgro é produtora de grãos, algodão, cana-de-açúcar e pecuária. A Companhia gerencia ativamente suas operações, combinando os retornos gerados pelas propriedades e operações da BrasilAgro, enquanto mitiga os riscos climáticos e agrícolas por meio da diversificação geográfica e da obtenção de altos rendimentos nas propriedades rurais.
AGXY3;AGROGALAXY PARTICIPAÇÕES S.A.;21.240.146/0001-84;;Agropecuária;Agricultura;Rua Iguatemi, n 192, 10 andar, conjuntos 103 e 104, Itaim Bibi, Sao Paulo, SAO PAULO, 01.451-010 BR;A Agrogalaxy Participacoes SA em Recuperacao Judicial, anteriormente denominada AgroGalaxy Participacoes SA, é uma empresa com sede no Brasil que atua na aquisição, desenvolvimento, arrendamento e comercialização de propriedades rurais, além da produção e venda de insumos e produtos agrícolas. A Companhia concentra suas atividades na comercialização de propriedades rurais por meio de compra, venda ou arrendamento, bem como na produção e comercialização de produtos agrícolas. Suas operações abrangem o Brasil, o Paraguai e a Bolívia. O principal produto da Companhia é sua plataforma integrada de desenvolvimento e produção de terras agrícolas, que combina investimento imobiliário com atividades agrícolas diversificadas. O objetivo é valorizar as propriedades rurais por meio de investimentos em infraestrutura e da aplicação de técnicas agrícolas de alto desempenho. A AgroGalaxy produz e comercializa uma variedade de produtos agrícolas, incluindo grãos como soja e milho, cana-de-açúcar, algodão, gado bovino e outras receitas provenientes de resíduos da produção de grãos. Toda a produção é gerenciada diretamente pela Companhia, que mantém controle total sobre os insumos, mão de obra, equipamentos e infraestrutura.
LAND3;TERRA SANTA PROPRIEDADES AGRÍCOLAS S.A.;40.337.136/0001-06;;Agropecuária;Agricultura;Praca General Gentil Falcao, 108, 8o andar Cj. 81, Sala 4, Cidade Moncoes, SAO PAULO, SAO PAULO, 04.571-150 BR;A Terra Santa Propriedades Agrícolas SA, anteriormente conhecida como TS Agro SA, é uma empresa sediada no Brasil focada na aquisição, administração e arrendamento de propriedades em áreas rurais. A Companhia possui um grande número de propriedades agrícolas destinadas a lavouras e pastagens, além de arrendar seu portfólio de terras para terceiros, geralmente a longo prazo, por no mínimo três anos. A Terra Santa Propriedades Agrícolas possui uma licença de operação que a permite administrar a Fazenda Terra Santa e a Fazenda Iporanga. A Companhia possui sete fazendas localizadas em diferentes municípios do Mato Grosso. A Terra Santa Propriedades Agrícolas SA possui diversas subsidiárias, incluindo a TS Brasil SA, Fazenda São José SA, Fazenda Iporanga SA e a Fazenda Boa Vista SA.
SLCE3;SLC AGRÍCOLA S.A.;89.096.457/0001-55;;Agropecuária;Agricultura;Av. Nilo Pecanha, 2900, sala 301, Chacara das Pedras, PORTO ALEGRE, RIO GRANDE DO SUL, 91.330-001 BR;A SLC Agricola SA é uma empresa sediada no Brasil que atua principalmente no setor agrícola. A Companhia atua em todo o ciclo de produção agrícola, que inclui planejamento, compra de suprimentos, preparação do solo, plantio e colheita, bem como processamento e armazenamento, entre outros. As atividades da Companhia estão divididas em dois segmentos de negócio: Produção Agrícola e Portfólio de Terras. A divisão de Produção Agrícola concentra-se no desenvolvimento de plantações de várias culturas, como algodão, soja, milho, trigo, café, sorgo, cana-de-açúcar e girassol. A divisão de portfólio de terrenos é responsável pela aquisição e desenvolvimento de terras para agricultura. A Companhia atua por meio de diversas subsidiárias, como Fazenda Planorte Empreendimentos Agricolas Ltda, SLC-MIT Empreendimentos Agricolas SA e Fazenda Parnaiba Empreendimentos Agricolas Ltda.
SOJA3;BOA SAFRA SEMENTES S.A.;10.807.374/0001-77;;Agropecuária;Agricultura;Avenida Circular 209, Setor Industrial, Formosa, GOIAS, 73.813-014 BR;A Boa Safra Sementes SA é uma companhia sediada no Brasil que atua no mercado de vendas de sementes. A Companhia possui um portfólio de sementes de soja, milho e feijão, oferecendo tratamentos com componentes químicos e genéticos. A Companhia possui Unidades de Beneficiamento de Sementes (UBS). O processamento e beneficiamento consistem na limpeza, secagem, padronização e separação das sementes. O Tratamento de Sementes Industrial consiste em dois tipos: adição de componentes químicos que podem variar de acordo com a demanda do cliente (TSI 1ª Geração), e o TSI 1ª Geração acrescido de um composto de cinco moléculas (TSI Completo). Esse tratamento oferece maior nível de produtividade, segurança, eficiência e precisão da safra por meio do controle de espectro de pragas e doenças iniciais, além da manutenção do estande de plantas. Os clientes podem optar por adquirir as sementes processadas ou as sementes processadas e tratadas com o TSI 1ª Geração ou com o TSI Completo.
TTEN3;TRÊS TENTOS AGROINDUSTRIAL S/A;94.813.102/0001-70;;Agropecuária;Agricultura;Avenida Principal, n 187, Distrito Industrial, Santa Barbara do Sul, RIO GRANDE DO SUL, 98.240-000 BR;A Tres Tentos Agroindustrial SA é uma empresa brasileira de agronegócio que oferece um ecossistema vertical e integrado. A Empresa fornece os produtos e soluções para pequenos e médios produtores rurais que produzem em áreas de terra de até 500 hectares. A Companhia atua principalmente por meio de três segmentos de negócios: Varejo de insumos agrícolas (insumos), que vende diversos tipos de sementes, fertilizantes para lavouras e pesticidas para soja, milho, trigo, arroz, entre outros. Originação e comercialização de grãos (grãos), que compra e vende grãos de produtores rurais, com frota própria de caminhões para logística e distribuição. A industrialização de grãos (indústria), que industrializa a soja para a produção de farelo de soja, óleo de soja e biodiesel, que possui duas ferrovias para o fluxo de seus produtos.
AMBP3;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S/A;12.648.266/0001-24;12648.0;Água e Saneamento;Água e Saneamento;Av Pacaembu 1088 Sala 09, Pacaembu, SAO PAULO, SAO PAULO, 01.234-000 BR;"A Ambipar Participações e Empreendimentos SA é uma empresa brasileira que atua no setor de gestão ambiental. Atua por meio de Ambipar Ambiente e Resposta Ambipar. A Ambipar Meio Ambiente é especializada em soluções ambientais e terceirização de mão de obra. Oferece um portfólio de soluções customizadas que vão desde a geração, transporte, recuperação e destinação final de resíduos. A Ambipar Response é especializada na gestão de crises e no atendimento a emergências que afetem a saúde, o meio ambiente e o patrimônio. Possui bases de apoio a emergências nas Américas, Europa e África que funcionam 24 horas por dia, ininterruptamente. A Resposta Ambipar tem como foco a Prevenção para estabelecer medidas de proteção e resposta; Preparação, como treinamento de resposta envolvendo produtos químicos (HAZMAT), combate a incêndio, espaços confinados ou outros tipos de emergências, e Resposta especializada em serviços de emergência, com rápido tempo de resposta."
"CASN3;CASN4";COMPANHIA CATARINENSE DE ÁGUAS E SANEAMENTO – CASAN;82.508.433/0001-17;82508.0;Água e Saneamento;Água e Saneamento;Rua Emilio Blun,83, Centro, FLORIANOPOLIS, SANTA CATARINA, 88.020-010 BR;A Companhia Catarinense de Águas e Saneamento - CASAN é uma empresa brasileira que se dedica sobretudo à operação de estações de tratamento de água e sistemas de abastecimento de água. A empresa atua no planejamento, operação e exploração da infraestrutura de abastecimento de água e esgotamento sanitário, bem como no desenvolvimento de obras de saneamento básico em parceria com alguns municípios do estado brasileiro de Santa Catarina. A empresa também opera laboratórios regionais para monitorar os fatores físicos, químicos e bacteriológicos na água e no esgoto em toda a sua área de serviço. Em 31 de dezembro de 2011, operava 247 sistemas de abastecimento de água e 37 sistemas de esgotamento sanitário em 199 municípios localizados no estado de Santa Catarina e em um município do estado do Paraná, que abastecem aproximadamente 2,5 milhões de habitantes. A empresa é controlada pelo governo do estado de Santa Catarina.
CSMG3;COMPANHIA DE SANEAMENTO DE MINAS GERAIS – COPASA MG ;17.281.106/0001-03;17281.0;Água e Saneamento;Água e Saneamento;Rua Mar de Espanha, 525, Santo Antonio, BELO HORIZONTE, MINAS GERAIS, 30.270-130 BR;A Companhia de Saneamento de Minas Gerais - COPASA MG, antiga Companhia Mineira de Água e Esgoto, Comag, é uma empresa estabelecida no Brasil, que atua no abastecimento de água e serviços de saneamento. As atividades da empresa dividem-se em três segmentos de negócios: serviços de água, de esgoto e venda de produtos. A divisão de serviços de água concentra-se na gestão do sistema de fornecimento de água e na distribuição de água por meio de centros de abastecimento no estado de Minas Gerais. A divisão de serviços de esgoto é responsável pela coleta, pelo tratamento e pelo descarte de água residual. A divisão de venda de produtos inclui a produção, o engarrafamento, a distribuição e a venda de água mineral. Além disso, a empresa fornece serviços de construção, benfeitorias e reparos em infraestruturas de concessionárias de água. Opera por meio de uma série de subsidiárias, como a Copasa Serviços de Saneamento Integrado do Norte e Nordeste de Minas Gerais S.A., Copasa Serviços de Irrigação S.A. e Copasa Águas Minerais de Minas S.A.
IGSN3;IGUA SANEAMENTO S.A.;08.159.965/0001-33;8159.0;Água e Saneamento;Água e Saneamento;Rua Gomes de Carvalho, 1507 ANDAR 11, Vila Olimpia, SAO PAULO, SAO PAULO, 04.547-005 BR;A Igua Saneamento SA, anteriormente Companhia de Águas do Brasil CAB Ambiental SA, é uma empresa sediada no Brasil, que se dedica principalmente ao setor de saneamento básico, tanto diretamente quanto através de suas subsidiárias. As atividades da Companhia incluem coleta de água, tratamento, distribuição geral de água, coleta e tratamento de esgoto, bem como formulação de projetos e estudos técnicos. Adicionalmente, a Companhia está envolvida na construção, operação, manutenção e reparos, modernização, ampliação, exploração das obras e operação do sistema de saneamento. As controladas da Companhia são a Empresa de Saneamento de Palestina - ESAP SA, a Saneamento de Mirassol - Sanessol SA, a CAB Sistema Produtor Alto Tietê SA, a CAB Guaratingueta SA e a CAB-MT Participações Ltda, entre outras.
