cd_conta,ds_conta,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receitas de Intermediação Financeira,49860277.0,49278990.0,53135947.0,53638060.0,57434165.0,56851528.0,56066988.0,54105112.0,52766144.0,51496698.0,52502678.0,56454216.0,60135729.0,65314006.0,70374059.0
3.02,Despesas de Intermediação Financeira,-29213446.0,-30687911.0,-36036918.0,-35372979.0,-39450559.0,-39715011.0,-40151166.0,-37059319.0,-35877711.0,-34558506.0,-37292629.0,-36550307.0,-40083757.0,-46219670.0,-52694311.0
3.03,Resultado Bruto de Intermediação Financeira,20646831.0,18591079.0,17099029.0,18265081.0,17983606.0,17136517.0,15915822.0,17045793.0,16888433.0,16938192.0,15210049.0,19903909.0,20051972.0,19094336.0,17679748.0
3.04,Outras Despesas e Receitas Operacionais,-10264196.0,-9126865.0,-10192998.0,-20808012.0,-11708018.0,-14085576.0,-13857957.0,-18221836.0,-12587969.0,-13209382.0,-9633954.0,-16608764.0,-13989054.0,-14764932.0,-12799404.0
3.05,Resultado antes dos Tributos sobre o Lucro,10382635.0,9464214.0,6906031.0,-2542931.0,6275588.0,3050941.0,2057865.0,-1176043.0,4300464.0,3728810.0,5576095.0,3295145.0,6062918.0,4329404.0,4880344.0
3.06,Imposto de Renda e Contribuição Social sobre o Lucro,-3113880.0,-2254888.0,-996329.0,3372344.0,-801778.0,1020324.0,1413179.0,2662689.0,-97696.0,456597.0,-631012.0,913750.0,-387256.0,1809861.0,687672.0
3.07,Lucro ou Prejuízo das Operações Continuadas,7268755.0,7209326.0,5909702.0,829413.0,5473810.0,4071265.0,3471044.0,1486646.0,4202768.0,4185407.0,4945083.0,4208895.0,5675662.0,6139265.0,5568016.0
3.08,Resultado Líquido das Operações Descontinuadas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.09,Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias,7268755.0,7209326.0,5909702.0,829413.0,5473810.0,4071265.0,3471044.0,1486646.0,4202768.0,4185407.0,4945083.0,4208895.0,5675662.0,6139265.0,5568016.0
3.10,Participações nos Lucros e Contribuições Estatutárias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.11,Lucro ou Prejuízo Líquido Consolidado do Período,7268755.0,7209326.0,5909702.0,829413.0,5473810.0,4071265.0,3471044.0,1486646.0,4202768.0,4185407.0,4945083.0,4208895.0,5675662.0,6139265.0,5568016.0
3.99,Lucro por Ação (Reais/Ação),1.35,1.34,1.09,0.15,1.01,0.76,0.63,0.28,0.78,0.78,0.92,0.78,1.06,1.15,1.04
