cd_conta,ds_conta,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,41009.000,586656.000,432876.000,279096.000,125316.000,881526.000,764623.000,115814.000,134428.000,987423.000,841084.000,69102.000,87572.000,727380.000,956998.000,131217.000,125124.000,1131096.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-19530.000,-487373.000,-362927.000,-238481.000,-114035.000,-778768.000,-645366.000,-140993.000,-82370.000,-851838.000,-695641.000,-76831.000,-56042.000,-630558.000,-853999.000,-119074.000,-77922.000,-982895.000
3.03,Resultado Bruto,21479.000,99283.000,69949.000,40615.000,11281.000,102758.000,119257.000,-25179.000,52058.000,135585.000,145443.000,-7729.000,31530.000,96822.000,102999.000,12143.000,47202.000,148201.000
3.04,Despesas/Receitas Operacionais,-3994.000,-10501.000,-8565.333,-6629.667,-4694.000,-7221.000,-34845.000,-10624.000,-14765.000,-8361.000,-20646.000,-20433.000,-18476.000,-22300.000,-17294.000,-25965.000,-39318.000,-50652.000
3.04.02,Despesas Gerais e Administrativas,-3613.000,-4960.000,-5035.000,-5110.000,-5185.000,-4048.000,-18110.000,-4376.000,-5948.000,-7552.000,-10402.000,-8418.000,-4728.000,-15453.000,-16227.000,-4980.000,-20343.000,-24098.000
3.04.05,Outras Despesas Operacionais,0.000,0.000,0.000,0.000,0.000,0.000,-744.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
3.04.06,Resultado de Equivalência Patrimonial,0.000,0.000,0.000,0.000,0.000,172.000,-172.000,0.000,0.000,-79.000,79.000,0.000,0.000,5.000,-5.000,317.000,0.000,-892.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,17485.000,88782.000,61383.667,33985.333,6587.000,95537.000,84412.000,-35803.000,37293.000,127224.000,124797.000,-28162.000,13054.000,74522.000,85705.000,-13822.000,7884.000,97549.000
3.06,Resultado Financeiro,99.000,-4490.000,-2217.333,55.333,2328.000,-11933.000,15114.000,7455.000,-5327.000,-1369.000,225.000,33427.000,3975.000,-3071.000,-3979.000,27501.000,10033.000,-11390.000
3.06.01,Receitas Financeiras,4003.000,3351.000,6172.000,8993.000,11814.000,1939.000,35969.000,37885.000,22170.000,18195.000,10026.000,76588.000,35069.000,21853.000,49164.000,73128.000,74286.000,24976.000
3.06.02,Despesas Financeiras,-3904.000,-7841.000,-8389.333,-8937.667,-9486.000,-13872.000,-20855.000,-30430.000,-27497.000,-19564.000,-9801.000,-43161.000,-31094.000,-24924.000,-53143.000,-45627.000,-64253.000,-36366.000
3.07,Resultado Antes dos Tributos sobre o Lucro,17584.000,84292.000,59166.333,34040.667,8915.000,83604.000,99526.000,-28348.000,31966.000,125855.000,125022.000,5265.000,17029.000,71451.000,81726.000,13679.000,17917.000,86159.000
3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-5884.000,3795.000,1624.667,-545.667,-2716.000,4117.000,-18154.000,14771.000,-4132.000,-10218.000,90552.000,2826.000,1085.000,-17411.000,-1465.000,3175.000,3716.000,-18280.000
3.09,Resultado Líquido das Operações Continuadas,11700.000,88087.000,60791.000,33495.000,6199.000,87721.000,81372.000,-13577.000,27834.000,115637.000,215574.000,8091.000,18114.000,54040.000,80261.000,16854.000,21633.000,67879.000
3.10,Resultado Líquido de Operações Descontinuadas,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-516.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000
3.11,Lucro/Prejuízo Consolidado do Período,11700.000,88087.000,60791.000,33495.000,6199.000,87721.000,81372.000,-13577.000,27834.000,115637.000,215058.000,8091.000,18114.000,54040.000,80263.000,16854.000,21633.000,67879.000
3.11.01,Atribuído a Sócios da Empresa Controladora,0.000,0.000,0.000,0.000,0.000,0.000,169335.000,-19144.000,0.000,101238.000,219407.000,-5844.000,4371.000,35038.000,59895.000,718.000,5628.000,35025.000
3.11.02,Atribuído a Sócios Não Controladores,0.000,0.000,0.000,0.000,0.000,0.000,5957.000,5567.000,0.000,14399.000,23485.000,13935.000,13743.000,19002.000,20368.000,16136.000,16005.000,32854.000
3.99,Lucro por Ação (Reais/Ação),0.100,0.752,0.519,0.286,0.053,0.749,0.695,-0.116,0.238,0.987,1.836,0.060,0.134,0.399,0.593,0.125,0.160,0.502
