codigo,nome,categoria,unidade,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,4.9172,7.9587,7.1276,6.243
P_VPA,P/VPA,Valuation,x,1.4937,1.1519,0.6537,0.0427,0.0374
EV_EBITDA,EV/EBITDA,Valuation,x,,5.7237,6.34,1.9128,1.8703
EV_EBIT,EV/EBIT,Valuation,x,,6.0734,7.6793,2.7401,2.6793
EV_RECEITA,EV/Receita,Valuation,x,,0.7407,0.6053,0.2072,0.2026
DY,Dividend Yield,Valuation,%,0.0297,0.5002,0.2057,3.0254,3.4541
PAYOUT,Payout,Valuation,%,,2.4594,1.6369,1.4078,1.4078
ROE,ROE,Rentabilidade,%,,30.3702,9.3679,9.5057,9.5057
ROA,ROA,Rentabilidade,%,,17.1016,6.3882,5.3588,5.3588
ROIC,ROIC,Rentabilidade,%,,12.7142,5.347,4.8072,4.8072
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,12.9405,9.5475,10.8344,10.8344
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,16.5942,8.7183,7.9605,7.9605
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,-0.5819,-0.9275,1.5709,1.5709
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.08,-0.1063,-0.0834,0.196,0.196
ICJ,ICJ,Endividamento,x,,2.9042,0.9527,0.8893,0.8893
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,76.4059,6.7179,34.0468,4.9267,4.9267
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.5768,4.5827,4.0641,3.6701,3.6701
LIQ_SECA,Liquidez Seca,Liquidez,x,1.0544,4.1742,3.5357,2.4941,2.4941
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.4154,1.9088,2.5997,1.5572,1.5572
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.8814,0.6904,0.5715,0.5715
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,80.3549,127.6178,159.8742,159.8742
PME,PME,Eficiência,dias,,28.074,50.5787,153.8349,153.8349
NCG_RECEITA,NCG/Receita,Eficiência,%,,24.9998,47.8934,47.3034,47.3034
