codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,1539223.88,1019120.84,1696191.92,1277441.04,1330216.68,1194894.53
P_L,P/L,Valuation,x,,4.8812,4.9172,7.9587,7.1276,6.4025
P_VPA,P/VPA,Valuation,x,2.3577,1.0648,1.1519,0.6537,0.6535,0.587
EV_EBITDA,EV/EBITDA,Valuation,x,,4.3416,5.7237,6.34,6.8078,6.2751
EV_EBIT,EV/EBIT,Valuation,x,,4.4471,6.0734,7.6793,9.7522,8.9891
EV_RECEITA,EV/Receita,Valuation,x,,0.4782,0.7407,0.6053,0.7376,0.6799
DY,Dividend Yield,Valuation,%,,1.45,7.6613,3.1504,3.0254,3.3681
PAYOUT,Payout,Valuation,%,,7.0776,37.6719,25.0734,21.5641,21.5641
ROE,ROE,Rentabilidade,%,,25.9369,28.3954,9.3679,9.5057,9.5057
ROA,ROA,Rentabilidade,%,,17.3656,18.1172,6.3882,5.3588,5.3588
ROIC,ROIC,Rentabilidade,%,,15.8428,12.7142,5.347,4.8072,4.8072
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,11.0155,12.9405,9.5475,10.8344,10.8344
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,10.1819,16.5942,8.7183,7.9605,7.9605
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,-0.1702,-0.5819,-0.9275,1.5709,1.5709
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.2418,-0.0402,-0.1063,-0.0834,0.196,0.196
ICJ,ICJ,Endividamento,x,,4.149,2.9042,0.9527,0.8893,0.8893
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,61.4172,33.6496,6.7179,34.0468,4.9267,4.9267
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,3.1908,3.2827,4.5827,4.0641,3.6701,3.6701
LIQ_SECA,Liquidez Seca,Liquidez,x,2.7819,2.8491,4.1742,3.5357,2.4941,2.4941
LIQ_GERAL,Liquidez Geral,Liquidez,x,2.5664,2.0324,1.9088,2.5997,1.5572,1.5572
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,1.4147,0.8814,0.6904,0.5715,0.5715
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,46.1731,80.3549,127.6178,159.8742,159.8742
PME,PME,Eficiência,dias,,25.6791,28.074,50.5787,153.8349,153.8349
NCG_RECEITA,NCG/Receita,Eficiência,%,,21.496,24.9998,47.8934,47.3034,47.3034
