ticker,periodo,data_calculo,P/L,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,PSR,ROE,ROIC,Margem_Bruta,Margem_EBIT,Margem_EBITDA,Margem_Liquida,Dividend_Yield,Payout,Divida_Liquida_PL,Divida_Liquida_EBITDA,Liquidez_Corrente,VPA,LPA,Preco,Num_Acoes,Market_Cap,Patrimonio_Liquido,Lucro_Liquido_LTM,Receita_LTM,EBITDA_LTM,EBIT_LTM
KLBN11,2010T4,2025-12-28T17:31:27.471486,,,,,,,,,,,,,,,,,,,,,,917683296.0,,,,,,
KLBN11,2011T4,2025-12-28T17:31:27.479153,,,,,,,,,,,,,,,,,,,,,,917683296.0,,,,,,
KLBN11,2012T4,2025-12-28T17:31:27.486643,,,,,,,,,,,,,,,,,,,,,,917683296.0,,,,,,
KLBN11,2013T4,2025-12-28T17:31:27.494168,,,,,,,,,,,,,,,,,,,,,,4729789535.0,,,,,,
KLBN11,2014T4,2025-12-28T17:31:27.502484,,,,,,,,,,,,,,,,,,,,,,4729789565.0,,,,,,
KLBN11,2015T1,2025-12-28T17:31:27.510750,,,,,,,,,,,,,,,,1.274900227741461,,2.6370546592602,,,10.02,,,6232945000.0,,,,
KLBN11,2015T2,2025-12-28T17:31:27.524959,,,,,,,,,,,,,,,,1.330874248958679,,2.4308183536473855,,,10.54,,,6510960000.0,,,,
KLBN11,2015T3,2025-12-28T17:31:27.543973,,,,,,,,,,,,,,,,2.4347815722009614,,2.750727578304434,,,12.23,,,4991741000.0,,,,
KLBN11,2015T4,2025-12-28T17:31:27.567123,,11.655337184334329,,,,,,,,,,,,,,2.4228668208671347,,2.74349610014246,1.1308124159389346,,13.18,4733181140.0,62383327425.2,5352340000.0,,,,
KLBN11,2016T1,2025-12-28T17:31:27.596558,,,,,,,,,,,,,,,,2.003313217144673,,2.547282979510896,,,10.94,,,6281508000.0,,,,
KLBN11,2016T2,2025-12-28T17:31:27.623385,,,,,,,,,,,,,,,,1.6138384107473738,,2.5333319992378747,,,8.78,,,7421199000.0,,,,
KLBN11,2016T3,2025-12-28T17:31:27.650106,,,,,,,,,,,,,,,,1.6440582251449039,,2.3763817520030206,,,9.77,,,7329342000.0,,,,
KLBN11,2016T4,2025-12-28T17:31:27.677137,,6.826124126182197,,,,,,,,,,,,,,1.7739761892958306,,2.4036782422513023,1.500119220030527,,10.24,4733181140.0,48467774873.6,7100336000.0,,,,
KLBN11,2017T1,2025-12-28T17:31:27.706720,,,,,,,,,,,,,,,,1.5601083712960035,,2.7447486254282043,,,8.84,,,7682108000.0,,,,
KLBN11,2017T2,2025-12-28T17:31:27.733639,,,,,,,,,,,,,,,,1.7341594874747086,,2.8833860039816424,,,9.51,,,7128936000.0,,,,
KLBN11,2017T3,2025-12-28T17:31:27.760690,,,,,,,,,,,,,,,,1.5711013340895068,,3.2324532451038026,,,10.83,,,7497398000.0,,,,
KLBN11,2017T4,2025-12-28T17:31:27.790958,,7.837094260708686,,,,,,,,,,,,,,1.7308166500809838,,3.1498639165507845,1.337230311563501,,10.48,5409801840.0,56694723283.200005,7234151000.0,,,,
KLBN11,2018T1,2025-12-28T17:31:27.820466,,,,,,,,,,,,,,,,1.7175751975627163,,3.4238336990151623,,,12.44,,,7201131000.0,,,,
KLBN11,2018T2,2025-12-28T17:31:27.847602,,,,,,,,,,,,,,,,2.275834794790129,,2.8981300591602994,,,11.86,,,6092665000.0,,,,
KLBN11,2018T3,2025-12-28T17:31:27.874874,,,,,,,,,,,,,,,,2.341798282436218,,2.9427487313940026,,,12.14,,,6019922000.0,,,,
KLBN11,2018T4,2025-12-28T17:31:27.901952,,8.288720344821781,,,,,,,,,,,,,,2.098780848064434,,2.92907454488776,1.2076653070161254,,10.01,5409801840.0,54152116418.4,6533230000.0,,,,
KLBN11,2019T1,2025-12-28T17:31:27.931194,,,,,,,,,,,,,,,,2.2227394624644496,,4.302513214485045,,,10.72,,,6334688000.0,,,,
KLBN11,2019T2,2025-12-28T17:31:27.958208,,,,,,,,,,,,,,,,2.3373030125220846,,4.844311565103905,,,10.44,,,6203440000.0,,,,
KLBN11,2019T3,2025-12-28T17:31:27.985155,,,,,,,,,,,,,,,,2.6497298417772295,,5.109912822871731,,,9.94,,,6213581000.0,,,,
KLBN11,2019T4,2025-12-28T17:31:28.012716,,10.201720579708006,,,,,,,,,,,,,,2.4218158505265044,,4.404523335791038,1.2017580666133973,,12.26,5409801840.0,66324170558.4,6501273000.0,,,,
KLBN11,2020T1,2025-12-28T17:31:28.042374,,,,,,,,,,,,,,,,6.372619963932403,,3.926396710224032,,,10.77,,,3420799000.0,,,,
KLBN11,2020T2,2025-12-28T17:31:28.069176,,,,,,,,,,,,,,,,6.709244114428527,,5.65406707228036,,,13.73,,,3373844000.0,,,,
KLBN11,2020T3,2025-12-28T17:31:28.096036,,,,,,,,,,,,,,,,7.041986954371797,,3.9018336979038497,,,15.8,,,3175010000.0,,,,
KLBN11,2020T4,2025-12-28T17:31:28.122637,,22.588106692310024,,,,,,,,,,,,,,4.818999256743982,,2.9849050995828943,0.780499235290137,,17.63,5617892756.0,99043449288.28,4384761000.0,,,,
KLBN11,2021T1,2025-12-28T17:31:28.151945,,,,,,,,,,,,,,,,6.146884679964294,,2.9217323882664235,,,18.35,,,3784234000.0,,,,
KLBN11,2021T2,2025-12-28T17:31:28.178721,,,,,,,,,,,,,,,,3.247193981911284,,2.7909868623966316,,,17.49,,,6316424000.0,,,,
KLBN11,2021T3,2025-12-28T17:31:28.205419,,,,,,,,,,,,,,,,3.3984708738465503,,2.5990116387176303,,,16.08,,,6457152000.0,,,,
KLBN11,2021T4,2025-12-28T17:31:28.232204,,13.762841388535819,,,,,,,,,,,,,,3.2363088283793338,,2.493724197118532,1.2613674393182026,,17.36,5617892756.0,97526618244.16,7086227000.0,,,,
KLBN11,2022T1,2025-12-28T17:31:28.261521,,,,,,,,,,,,,,,,2.0209468759160067,,2.5282054254758726,,,16.51,,,9859370000.0,,,,
KLBN11,2022T2,2025-12-28T17:31:28.288493,,,,,,,,,,,,,,,,2.3787738232438786,,2.4464759912678846,,,14.03,,,9687755000.0,,,,
KLBN11,2022T3,2025-12-28T17:31:28.315649,,,,,,,,,,,,,,,,2.1830123536734924,,2.347120916659881,,,12.84,,,10982887000.0,,,,
KLBN11,2022T4,2025-12-28T17:31:28.342458,,7.017348176831342,,,,,,,,,,,,,,1.97580752378965,,1.935080125353039,2.0591824198931006,,14.45,5617892756.0,81178550324.2,11568266000.0,,,,
KLBN11,2023T1,2025-12-28T17:31:28.371410,,,,,,,,,,,,,,,,1.7903863041879864,,2.069793781086664,,,13.31,,,12762792000.0,,,,
KLBN11,2023T2,2025-12-28T17:31:28.398032,,,,,,,,,,,,,,,,1.506893825947926,,1.855404130149762,,,16.3,,,14245863000.0,,,,
KLBN11,2023T3,2025-12-28T17:31:28.424876,,,,,,,,,,,,,,,,1.6773811641700576,,2.1583322668824474,,,18.02,,,13597309000.0,,,,
KLBN11,2023T4,2025-12-28T17:31:28.458608,,7.722053833481971,,,,,,,,,,,,,,1.586190848577003,,2.702596968384383,2.22220673023492,,17.16,6179682031.0,106043343651.96,13732531000.0,,,,
KLBN11,2024T1,2025-12-28T17:31:28.488211,,,,,,,,,,,,,,,,1.6768122829917824,,2.7892941997821605,,,19.66,,,13546146000.0,,,,
KLBN11,2024T2,2025-12-28T17:31:28.515356,,,,,,,,,,,,,,,,2.0819732479555793,,2.8450699451382198,,,18.6,,,11618327000.0,,,,
KLBN11,2024T3,2025-12-28T17:31:28.542950,,,,,,,,,,,,,,,,2.4922697948903063,,2.3000477790830045,,,18.41,,,11945608000.0,,,,
KLBN11,2024T4,2025-12-28T17:31:28.569650,,15.017774953768582,,,,,,,,,,,,,,3.8169853656277497,,1.9291054469959068,1.3976770902891136,,20.99,6179682031.0,129711525830.68999,8637200000.0,,,,
KLBN11,2025T1,2025-12-28T17:31:28.598957,,,,,,,,,,,,,,,,2.697636895090296,,1.9594309384292679,,,16.92,,,11308258000.0,,,,
KLBN11,2025T2,2025-12-28T17:31:28.625938,,,,,,,,,,,,,,,,2.141051996951461,,2.1125171708469983,,,16.92,,,13388708000.0,,,,
KLBN11,2025T3,2025-12-28T17:31:28.652733,,,,,,,,,,,,,,,,1.8311981757947926,,2.117984408285191,,,16.77,,,14671595000.0,,,,
