cd_conta,ds_conta,2019T1,2019T2,2019T3,2019T4,2020T1,2020T2,2020T3,2020T4,2021T1,2021T2,2021T3,2021T4,2022T1,2022T2,2022T3,2022T4,2023T1,2023T2,2023T3,2023T4,2024T1,2024T2,2024T3,2024T4,2025T1,2025T2,2025T3
3.01,Receita de Venda de Bens e/ou Serviços,30668.000,39521.000,55402.333,71283.667,87165.000,48798.000,88558.000,159752.000,137323.500,114895.000,140102.000,233962.000,162842.000,159458.000,147035.000,183268.000,238156.000,194091.000,264736.000,297998.000,250885.000,360873.000,353869.000,288906.000,209047.000,225503.000,219401.000
3.02,Custo dos Bens e/ou Serviços Vendidos,-18405.000,-28934.000,-39116.000,-49298.000,-59480.000,-34371.000,-51788.000,-81724.000,-72902.500,-64081.000,-86991.000,-128498.000,-111010.000,-102444.000,-108322.000,-134270.000,-180946.000,-144941.000,-189688.000,-229464.000,-205965.000,-296376.000,-280276.000,-233498.000,-169081.000,-182223.000,-180741.000
3.03,Resultado Bruto,12263.000,10587.000,16286.333,21985.667,27685.000,14427.000,36770.000,78028.000,64421.000,50814.000,53111.000,105464.000,51832.000,57014.000,38713.000,48998.000,57210.000,49150.000,75048.000,68534.000,44920.000,64497.000,73593.000,55408.000,39966.000,43280.000,38660.000
3.04,Despesas/Receitas Operacionais,-7446.000,-1557.000,-5222.000,-8887.000,-12552.000,-13869.000,-33578.000,-27283.000,-28234.000,-29185.000,-29169.000,-71760.000,-26296.000,-35161.000,-28259.000,-29888.000,-32693.000,-40106.000,-33864.000,-30630.000,-27042.000,-46926.000,-38172.000,-23374.000,-81874.000,-53072.000,-62769.000
3.04.02,Despesas Gerais e Administrativas,-4920.000,-6156.000,-6778.000,-7400.000,-8022.000,-8505.000,-15838.000,-9583.000,-14588.500,-19594.000,-19349.000,-33171.000,-32064.000,-22621.000,-18665.000,-6744.000,-35689.000,-25604.000,-18793.000,-8209.000,-32228.000,-26897.000,-33429.000,-17655.000,-82556.000,-32660.000,-33219.000
3.04.05,Outras Despesas Operacionais,-2428.000,-929.000,-1380.667,-1832.333,-2284.000,-12211.000,-80.000,14254.000,-2828.500,-19911.000,-220.000,19133.000,0.000,-22532.000,-639.000,20669.000,0.000,-22848.000,-654.000,20487.000,0.000,-21121.000,-892.000,18287.000,0.000,-14414.000,-2065.000
3.04.06,Resultado de Equivalência Patrimonial,-98.000,5528.000,2936.667,345.333,-2246.000,6847.000,-661.000,2781.000,6550.500,10320.000,5973.000,13090.000,5768.000,9992.000,9546.000,6392.000,2996.000,8346.000,4953.000,3146.000,5186.000,1092.000,7043.000,9185.000,682.000,-5998.000,627.000
3.05,Resultado Antes do Resultado Financeiro e dos Tributos,4817.000,9030.000,11064.333,13098.667,15133.000,558.000,3192.000,50745.000,36187.000,21629.000,23942.000,33704.000,25536.000,21853.000,10454.000,19110.000,24517.000,9044.000,41184.000,37904.000,17878.000,17571.000,35421.000,32034.000,-41908.000,-9792.000,-24109.000
3.06,Resultado Financeiro,-3487.000,3168.000,2240.667,1313.333,386.000,2075.000,577.000,2814.000,3080.000,3346.000,2363.000,5551.000,-2804.000,-1767.000,-4612.000,-3016.000,-3679.000,-2351.000,349.000,-7670.000,-5274.000,-5752.000,-3892.000,-4226.000,-3535.000,-2640.000,-2757.000
3.06.01,Receitas Financeiras,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2804.000,0.000,0.000,2804.000,0.000,0.000,0.000,0.000,4125.000,0.000,0.000,-4125.000,4094.000,0.000,5513.000
