codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,,,,,,,,
P_L,P/L,Valuation,x,,,,,,,,
P_VPA,P/VPA,Valuation,x,,,,,,,,
EV_EBITDA,EV/EBITDA,Valuation,x,,,,,,,,
EV_EBIT,EV/EBIT,Valuation,x,,,,,,,,
EV_RECEITA,EV/Receita,Valuation,x,,,,,,,,
DY,Dividend Yield,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYOUT,Payout,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROE,ROE,Rentabilidade,%,9.2076,11.9271,15.0124,5.8571,8.9986,6.4459,-8.5785,-8.5785
ROA,ROA,Rentabilidade,%,3.577,5.9569,8.5118,3.0031,4.2878,3.0044,-3.8995,-3.8995
ROIC,ROIC,Rentabilidade,%,6.6076,6.122,8.4497,5.1001,5.6075,5.1985,-2.114,-2.114
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,19.4083,18.2029,18.5954,12.4776,11.6247,8.4996,-3.6319,-3.6319
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,18.7073,17.2547,18.0971,7.1635,7.8382,4.6786,-8.066,-8.066
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.5322,0.5547,0.891,2.4271,3.3781,3.9433,-13.8287,-13.8287
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.0508,0.0545,0.13,0.2476,0.4178,0.4746,0.5302,0.5302
ICJ,ICJ,Endividamento,x,,,,,,,-6.7346,-6.7346
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,,48.847,12.1698,50.2267,34.6184,20.9824,36.7146,36.7146
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,6.2178,4.2514,5.571,3.1901,2.9736,4.1369,3.3091,3.3091
LIQ_SECA,Liquidez Seca,Liquidez,x,6.2178,4.2514,5.571,3.1901,2.9736,4.1369,3.3091,3.3091
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.4267,2.2964,2.0202,1.7725,1.74,1.7371,1.7133,1.7133
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.1912,0.3212,0.427,0.3963,0.4998,0.6546,0.4753,0.4753
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,274.704,104.55,82.0269,74.9829,107.5169,130.6611,179.7439,179.7439
PME,PME,Eficiência,dias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCG_RECEITA,NCG/Receita,Eficiência,%,245.6584,151.9516,94.0277,118.6194,94.0783,75.316,115.9409,115.9409
