codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,35.5165,27.8632,-38.1534,54.2495,2880.0,-4.0832,-4.281
P_VPA,P/VPA,Valuation,x,5.7126,3.5106,1.3293,2.083,0.8186,0.9487,0.9946
EV_EBITDA,EV/EBITDA,Valuation,x,11.993,7.3195,3.1991,4.6469,1.3577,1.5786,1.6502
EV_EBIT,EV/EBIT,Valuation,x,16.9759,11.1474,7.2451,10.5007,3.1087,12.2424,12.7982
EV_RECEITA,EV/Receita,Valuation,x,1.6081,0.8987,0.2743,0.451,0.1232,0.1643,0.1718
DY,Dividend Yield,Valuation,%,0.4596,1.3931,,2.8416,5.1124,5.3744,5.1261
PAYOUT,Payout,Valuation,%,18.5452,38.8158,,160.5563,15650.2828,419.4862,419.4862
ROE,ROE,Rentabilidade,%,14.1586,13.3669,3.4689,3.6762,0.027,1.0764,1.0764
ROA,ROA,Rentabilidade,%,3.0588,2.7787,0.6536,0.6211,0.0042,0.1488,0.1488
ROIC,ROIC,Rentabilidade,%,29.1168,23.1166,12.6284,13.5016,16.3114,5.131,5.131
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,13.4085,12.2778,8.5738,9.7062,9.0732,10.4085,10.4085
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,4.1863,3.355,0.8087,0.8206,0.0055,0.1972,0.1972
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,-0.6037,-0.2941,-0.3996,-0.1301,-0.4898,0.0996,0.0996
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,-0.2738,-0.1356,-0.1476,-0.0567,-0.217,0.0639,0.0639
ICJ,ICJ,Endividamento,x,2.0711,1.4258,0.5368,0.5639,0.5209,0.1524,0.1524
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,44.6869,40.8853,15.5232,22.1991,36.693,31.8365,31.8365
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.64,1.6182,1.8912,1.6969,1.5575,1.6385,1.6385
LIQ_SECA,Liquidez Seca,Liquidez,x,1.3136,1.2117,1.4532,1.3339,1.2518,1.3028,1.3028
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.0208,0.9556,0.9198,0.9346,0.9494,0.9255,0.9255
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.7307,0.7554,0.7629,0.7254,0.7202,0.7532,0.7532
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,124.432,142.3119,159.4311,177.246,178.821,227.0864,227.0864
PME,PME,Eficiência,dias,120.6749,132.9975,109.8082,108.6596,107.3072,106.3976,106.3976
NCG_RECEITA,NCG/Receita,Eficiência,%,17.6561,22.8513,22.9096,20.459,18.3035,24.716,24.716
