codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,,,,,,,
P_VPA,P/VPA,Valuation,x,,,,,,,,
EV_EBITDA,EV/EBITDA,Valuation,x,,,,,,,,
EV_EBIT,EV/EBIT,Valuation,x,,,,,,,,
EV_RECEITA,EV/Receita,Valuation,x,,,,,,,,
DY,Dividend Yield,Valuation,%,,,,,,,,
PAYOUT,Payout,Valuation,%,,10.4208,8.5706,159.0973,,,,
ROE,ROE,Rentabilidade,%,18.5833,29.2924,64.0891,8.1212,10.4342,18.6792,10.6858,10.6858
ROA,ROA,Rentabilidade,%,8.4859,12.2033,26.9835,3.6573,5.0451,9.3071,4.9375,4.9375
ROIC,ROIC,Rentabilidade,%,8.2452,15.5551,30.9254,4.7433,4.5729,-2.0272,3.3175,3.3175
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,25.2408,36.2606,52.2368,42.4136,47.8359,6.6801,32.8264,32.8264
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,14.7783,11.817,26.593,12.0545,18.7749,25.5151,12.6367,12.6367
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,2.3144,1.304,0.5117,2.6422,1.5751,12.92,2.5958,2.5958
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.7346,1.0638,0.5192,0.7869,0.4418,0.6969,0.7462,0.7462
ICJ,ICJ,Endividamento,x,1.456,2.4109,5.6924,0.4906,0.4402,-0.3168,0.4539,0.4539
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,62.0228,45.3543,57.0954,92.7038,77.5934,78.4698,38.1104,38.1104
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.2293,1.9136,2.2931,1.3776,1.4312,1.0655,1.2631,1.2631
LIQ_SECA,Liquidez Seca,Liquidez,x,0.755,0.9957,1.696,1.0065,0.9069,0.5656,0.7118,0.7118
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.0119,1.1191,1.4275,1.3311,1.3159,1.0091,0.9028,0.9028
GIRO_ATIVO,Giro do Ativo,Eficiência,x,0.5742,0.8747,0.8616,0.3216,0.3022,0.3868,0.389,0.389
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,196.6096,262.0699,296.7972,769.7608,660.6505,432.6686,310.679,310.679
PME,PME,Eficiência,dias,187.1549,196.2679,173.757,396.7443,447.9681,333.1845,297.2445,297.2445
NCG_RECEITA,NCG/Receita,Eficiência,%,49.2961,51.8086,56.2294,157.3435,110.0235,74.3207,53.6587,53.6587
