codigo,nome,categoria,unidade,2019,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,10074618.12,17343366.72,12504898.81,13123515.71,14890992.57,13850574.18,15469472.46,10253022.44
P_L,P/L,Valuation,x,29.8335,23.8801,16.2657,12.3249,12.061,10.3758,8.1318,5.3897
P_VPA,P/VPA,Valuation,x,5.1684,3.0387,1.9308,1.7401,1.6973,1.5002,1.3749,0.9113
EV_EBITDA,EV/EBITDA,Valuation,x,23.7673,18.7962,11.5328,7.3486,6.9857,5.8601,5.2151,3.6061
EV_EBIT,EV/EBIT,Valuation,x,23.7673,18.7962,14.8681,10.6178,10.308,6.9161,6.9111,4.7789
EV_RECEITA,EV/Receita,Valuation,x,1.3648,1.3186,0.858,0.6659,0.6478,0.4507,0.4619,0.3194
DY,Dividend Yield,Valuation,%,5.4676,3.1761,4.405,4.1974,3.6992,4.0475,3.6239,5.4676
PAYOUT,Payout,Valuation,%,163.1185,75.8456,71.6506,51.7323,44.6157,41.9957,29.4688,29.4688
ROE,ROE,Rentabilidade,%,17.324,18.9705,12.6196,15.1912,15.1345,14.8274,18.4263,18.4263
ROA,ROA,Rentabilidade,%,8.1938,11.79,8.4698,9.1718,8.3362,7.7194,9.1466,9.1466
ROIC,ROIC,Rentabilidade,%,10.7176,12.1842,7.9631,10.1079,9.8916,14.0209,12.7242,12.7242
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,5.7423,7.0153,7.4393,9.0619,9.2735,7.6906,8.8579,8.8579
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,4.2025,5.8584,4.8422,4.8915,4.6114,4.1604,5.1975,5.1975
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,1.9336,-1.1459,0.9455,0.6959,0.9881,0.2471,0.4437,0.4437
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.4577,-0.1746,0.1724,0.182,0.2796,0.066,0.1279,0.1279
ICJ,ICJ,Endividamento,x,2.5193,3.804,3.3947,2.9639,2.5993,2.4913,2.2886,2.2886
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,19.7335,5.4821,11.7334,8.6197,13.3873,18.5142,20.4175,20.4175
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,2.7523,4.4559,3.8005,3.1962,2.4483,2.3242,1.9309,1.9309
LIQ_SECA,Liquidez Seca,Liquidez,x,1.27,2.5332,1.6806,1.7487,1.2472,1.2672,1.0377,1.0377
LIQ_GERAL,Liquidez Geral,Liquidez,x,1.3392,2.5128,1.858,1.5796,1.4139,1.3012,1.1155,1.1155
GIRO_ATIVO,Giro do Ativo,Eficiência,x,1.9497,1.5121,1.5949,1.6412,1.6368,1.7602,1.5446,1.5446
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,93.9231,101.9272,113.3947,84.0793,81.6737,65.1245,59.2598,59.2598
PME,PME,Eficiência,dias,90.5518,100.1647,103.4552,84.5482,87.3806,71.6294,72.727,72.727
NCG_RECEITA,NCG/Receita,Eficiência,%,20.2413,21.4041,25.0587,20.7841,19.97,15.4121,14.548,14.548
