codigo,nome,categoria,unidade,2020,2021,2022,2023,2024,2025,LTM
VALOR_MERCADO,Valor de Mercado,Valuation,R$ mil,6625647.49,7041684.39,2714706.31,1715962.19,1883351.49,1753784.32,2031428.27
P_L,P/L,Valuation,x,,58.7914,53.6609,104.9582,-44.0488,481.148,557.3191
P_VPA,P/VPA,Valuation,x,,4.0026,1.4749,0.9486,1.1334,1.0219,1.1836
EV_EBITDA,EV/EBITDA,Valuation,x,,19.0834,7.3729,5.9127,8.1667,3.6828,4.2935
EV_EBIT,EV/EBIT,Valuation,x,,25.3972,19.4766,13.4613,31.6295,13.8294,16.1229
EV_RECEITA,EV/Receita,Valuation,x,,2.0637,0.9322,0.5434,0.5996,0.4764,0.5555
DY,Dividend Yield,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAYOUT,Payout,Valuation,%,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROE,ROE,Rentabilidade,%,,13.6164,2.8107,0.896,-2.4639,0.2135,0.2135
ROA,ROA,Rentabilidade,%,,6.9488,1.4262,0.4278,-1.0837,0.0919,0.0919
ROIC,ROIC,Rentabilidade,%,,13.1817,5.0639,4.6522,2.3479,4.8819,4.8819
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,10.8141,12.6438,9.1898,7.3423,12.9373,12.9373
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,3.7567,1.7848,0.5152,-1.2868,0.1037,0.1037
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,-1.3403,-0.2018,0.0283,0.4466,-0.1753,-0.1753
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,,-0.2627,-0.0393,0.0046,0.0656,-0.0464,-0.0464
ICJ,ICJ,Endividamento,x,,2.0219,1.0805,0.6933,0.272,0.5007,0.5007
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,,56.7354,76.2761,10.8171,13.4975,22.498,22.498
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,,1.9478,1.4775,1.814,1.6724,1.7058,1.7058
LIQ_SECA,Liquidez Seca,Liquidez,x,,1.4697,0.8968,1.2331,1.0981,1.1664,1.1664
LIQ_GERAL,Liquidez Geral,Liquidez,x,,0.8422,0.6627,0.6996,0.6972,0.7572,0.7572
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.9248,0.7772,0.7942,0.8529,0.8908,0.8908
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,28.2461,56.6168,48.2313,55.0351,51.9825,51.9825
PME,PME,Eficiência,dias,,72.7328,103.8525,93.9685,96.6106,94.0105,94.0105
NCG_RECEITA,NCG/Receita,Eficiência,%,,3.2358,8.9213,7.5382,7.7837,6.1983,6.1983
