codigo,nome,categoria,unidade,2021,2022,2023,2024,2025,LTM
P_L,P/L,Valuation,x,,53.4462,104.9208,-44.0286,-425.7772,-493.1825
P_VPA,P/VPA,Valuation,x,17.1703,1.4749,0.9486,1.1334,0.8234,0.9537
EV_EBITDA,EV/EBITDA,Valuation,x,,7.3729,5.9127,8.1667,2.9334,3.4255
EV_EBIT,EV/EBIT,Valuation,x,,19.4766,13.4613,31.6295,11.0153,12.8633
EV_RECEITA,EV/Receita,Valuation,x,,0.9322,0.5434,0.5996,0.3795,0.4432
DY,Dividend Yield,Valuation,%,0.1944,0.3667,0.3694,5.763,7.6069,6.5672
PAYOUT,Payout,Valuation,%,,19.6783,38.7703,253.8552,136.8187,136.8187
ROE,ROE,Rentabilidade,%,,4.1709,0.896,2.4639,4.6014,4.6014
ROA,ROA,Rentabilidade,%,,1.7832,0.4278,1.0837,1.9803,1.9803
ROIC,ROIC,Rentabilidade,%,,5.0639,4.6522,2.3479,4.8819,4.8819
MARGEM_EBITDA,Margem EBITDA,Rentabilidade,%,,12.6438,9.1898,7.3423,12.9373,12.9373
MARGEM_LIQUIDA,Margem Líquida,Rentabilidade,%,,1.7848,0.5152,1.2868,2.236,2.236
DIV_LIQ_EBITDA,Dív.Líq/EBITDA,Endividamento,x,,-0.2018,0.0283,0.4466,-0.1753,-0.1753
DIV_LIQ_PL,Dív.Líq/PL,Endividamento,x,0.2291,-0.0393,0.0046,0.0656,-0.0464,-0.0464
ICJ,ICJ,Endividamento,x,,2.2157,1.261,0.4294,0.928,0.928
COMPOSICAO_DIVIDA,Composição Dívida,Endividamento,%,58.9469,76.2761,10.8171,13.4975,22.498,22.498
LIQ_CORRENTE,Liquidez Corrente,Liquidez,x,1.1145,1.4775,1.814,1.6724,1.7058,1.7058
LIQ_SECA,Liquidez Seca,Liquidez,x,0.6939,0.8968,1.2331,1.0981,1.1664,1.1664
LIQ_GERAL,Liquidez Geral,Liquidez,x,0.5096,0.6627,0.6996,0.6972,0.7572,0.7572
GIRO_ATIVO,Giro do Ativo,Eficiência,x,,0.7772,0.7942,0.8529,0.8908,0.8908
CICLO_CAIXA,Ciclo de Caixa,Eficiência,dias,,56.6168,48.2313,55.0351,51.9825,51.9825
PME,PME,Eficiência,dias,,103.8525,93.9685,96.6106,94.0105,94.0105
NCG_RECEITA,NCG/Receita,Eficiência,%,,8.9213,7.5382,7.7837,6.1983,6.1983
